uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
Q86U37	CN023_HUMAN	Uncharacterized protein encoded by LINC01551 OS=Homo sapiens OX=9606 GN=LINC01551 PE=2 SV=2	167	non-HK		not_mapped_to_ensg	sp	CN023_HUMAN	Swiss-Prot reviewed
Q8N2X6	EXAS1_HUMAN	Uncharacterized protein EXOC3-AS1 OS=Homo sapiens OX=9606 GN=EXOC3-AS1 PE=1 SV=1	119	non-HK		not_mapped_to_ensg	sp	EXAS1_HUMAN	Swiss-Prot reviewed
A6NDX5	ZN840_HUMAN	Zinc finger protein 840 OS=Homo sapiens OX=9606 GN=ZNF840P PE=1 SV=5	716	non-HK		not_mapped_to_ensg	sp	ZN840_HUMAN	Swiss-Prot reviewed
S4R3P1	HMN13_HUMAN	Humanin-like 13 OS=Homo sapiens OX=9606 GN=MTRNR2L13 PE=3 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN13_HUMAN	Swiss-Prot reviewed
O15172	PSPHL_HUMAN	Putative phosphoserine phosphatase-like protein OS=Homo sapiens OX=9606 GN=PSPHP1 PE=5 SV=1	72	non-HK		not_mapped_to_ensg	sp	PSPHL_HUMAN	Swiss-Prot reviewed
P0DP06	HVD34_HUMAN	Immunoglobulin heavy variable 4-30-4 OS=Homo sapiens OX=9606 GN=IGHV4-30-4 PE=1 SV=1	118	non-HK		not_mapped_to_ensg	sp	HVD34_HUMAN	Swiss-Prot reviewed
P36268	GGT2_HUMAN	Inactive glutathione hydrolase 2 OS=Homo sapiens OX=9606 GN=GGT2P PE=1 SV=3	569	non-HK		not_mapped_to_ensg	sp	GGT2_HUMAN	Swiss-Prot reviewed
Q5VT33	CX031_HUMAN	Putative uncharacterized protein encoded by LINC01545 OS=Homo sapiens OX=9606 GN=LINC01545 PE=4 SV=1	79	non-HK		not_mapped_to_ensg	sp	CX031_HUMAN	Swiss-Prot reviewed
Q68D20	PMS2L_HUMAN	Protein PMS2CL OS=Homo sapiens OX=9606 GN=PMS2CL PE=1 SV=1	193	non-HK		not_mapped_to_ensg	sp	PMS2L_HUMAN	Swiss-Prot reviewed
Q6A1A2	PDPK2_HUMAN	Putative 3-phosphoinositide-dependent protein kinase 2 OS=Homo sapiens OX=9606 GN=PDPK2P PE=5 SV=1	396	non-HK		not_mapped_to_ensg	sp	PDPK2_HUMAN	Swiss-Prot reviewed
Q86Y29	BAGE3_HUMAN	B melanoma antigen 3 OS=Homo sapiens OX=9606 GN=BAGE3 PE=2 SV=1	109	non-HK		not_mapped_to_ensg	sp	BAGE3_HUMAN	Swiss-Prot reviewed
Q9NX77	ENK13_HUMAN	Endogenous retrovirus group K member 13-1 Env polyprotein OS=Homo sapiens OX=9606 GN=ERVK13-1 PE=2 SV=2	482	non-HK		not_mapped_to_ensg	sp	ENK13_HUMAN	Swiss-Prot reviewed
B1ANH7	IBADT_HUMAN	Putative uncharacterized protein IBA57-DT OS=Homo sapiens OX=9606 GN=IBA57-DT PE=5 SV=1	110	non-HK		not_mapped_to_ensg	sp	IBADT_HUMAN	Swiss-Prot reviewed
F2Z3F1	CE067_HUMAN	Uncharacterized protein C5orf67 OS=Homo sapiens OX=9606 GN=C5orf67 PE=4 SV=1	127	non-HK		not_mapped_to_ensg	sp	CE067_HUMAN	Swiss-Prot reviewed
Q107X0	KRIP1_HUMAN	Putative protein KRIP1 OS=Homo sapiens OX=9606 GN=KLKP1 PE=5 SV=1	134	non-HK		not_mapped_to_ensg	sp	KRIP1_HUMAN	Swiss-Prot reviewed
Q8NGH6	O52L2_HUMAN	Putative olfactory receptor 52L2 OS=Homo sapiens OX=9606 GN=OR52L2P PE=5 SV=3	319	non-HK		not_mapped_to_ensg	sp	O52L2_HUMAN	Swiss-Prot reviewed
Q9BV90	SNR25_HUMAN	U11/U12 small nuclear ribonucleoprotein 25 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP25 PE=1 SV=1	132	non-HK		not_mapped_to_ensg	sp	SNR25_HUMAN	Swiss-Prot reviewed
Q0IIN9	ZNFS1_HUMAN	Putative uncharacterized protein ZNF252P-AS1 OS=Homo sapiens OX=9606 GN=ZNF252P-AS1 PE=5 SV=1	211	non-HK		not_mapped_to_ensg	sp	ZNFS1_HUMAN	Swiss-Prot reviewed
Q6ZV77	CI139_HUMAN	Putative uncharacterized protein LINC02908 OS=Homo sapiens OX=9606 GN=LINC02908 PE=5 SV=1	190	non-HK		not_mapped_to_ensg	sp	CI139_HUMAN	Swiss-Prot reviewed
Q8N328	PGBD3_HUMAN	PiggyBac transposable element-derived protein 3 OS=Homo sapiens OX=9606 GN=PGBD3 PE=1 SV=3	593	non-HK		not_mapped_to_ensg	sp	PGBD3_HUMAN	Swiss-Prot reviewed
Q8NBR9	CK072_HUMAN	Uncharacterized protein NDUFV1-DT OS=Homo sapiens OX=9606 GN=NDUFV1-DT PE=2 SV=1	251	non-HK		not_mapped_to_ensg	sp	CK072_HUMAN	Swiss-Prot reviewed
A6NIU2	CU037_HUMAN	Putative uncharacterized protein encoded by LINC01549 OS=Homo sapiens OX=9606 GN=LINC01549 PE=5 SV=1	74	non-HK		not_mapped_to_ensg	sp	CU037_HUMAN	Swiss-Prot reviewed
P60507	EFC1_HUMAN	Endogenous retrovirus group FC1 Env polyprotein OS=Homo sapiens OX=9606 GN=ERVFC1 PE=1 SV=1	584	non-HK		not_mapped_to_ensg	sp	EFC1_HUMAN	Swiss-Prot reviewed
P63133	POK8_HUMAN	Endogenous retrovirus group K member 8 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-8 PE=3 SV=1	956	non-HK		not_mapped_to_ensg	sp	POK8_HUMAN	Swiss-Prot reviewed
Q13536	CROC4_HUMAN	Protein CROC-4 OS=Homo sapiens OX=9606 GN=MIR9-1HG PE=1 SV=1	156	non-HK		not_mapped_to_ensg	sp	CROC4_HUMAN	Swiss-Prot reviewed
Q156A1	ATX8_HUMAN	Ataxin-8 OS=Homo sapiens OX=9606 GN=ATXN8 PE=1 SV=1	80	non-HK		not_mapped_to_ensg	sp	ATX8_HUMAN	Swiss-Prot reviewed
Q8N9P6	CI163_HUMAN	Uncharacterized protein C9orf163 OS=Homo sapiens OX=9606 GN=C9orf163 PE=2 SV=1	203	non-HK		not_mapped_to_ensg	sp	CI163_HUMAN	Swiss-Prot reviewed
Q9XRX5	HHLA3_HUMAN	Putative uncharacterized protein ANKRD13C-DT OS=Homo sapiens OX=9606 GN=ANKRD13C-DT PE=5 SV=3	114	non-HK		not_mapped_to_ensg	sp	HHLA3_HUMAN	Swiss-Prot reviewed
P08842	STS_HUMAN	Steryl-sulfatase OS=Homo sapiens OX=9606 GN=STS PE=1 SV=2	583	non-HK		not_mapped_to_ensg	sp	STS_HUMAN	Swiss-Prot reviewed
Q58FG1	HS904_HUMAN	Putative heat shock protein HSP 90-alpha A4 OS=Homo sapiens OX=9606 GN=HSP90AA4P PE=5 SV=1	418	non-HK		not_mapped_to_ensg	sp	HS904_HUMAN	Swiss-Prot reviewed
Q86UX2	ITIH5_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=1 SV=2	942	non-HK		not_mapped_to_ensg	sp	ITIH5_HUMAN	Swiss-Prot reviewed
Q8N9X3	YA026_HUMAN	Putative uncharacterized protein encoded by LINC01356 OS=Homo sapiens OX=9606 GN=LINC01356 PE=5 SV=1	169	non-HK		not_mapped_to_ensg	sp	YA026_HUMAN	Swiss-Prot reviewed
Q4V348	Z658B_HUMAN	Zinc finger protein 658B OS=Homo sapiens OX=9606 GN=ZNF658B PE=2 SV=1	819	non-HK		not_mapped_to_ensg	sp	Z658B_HUMAN	Swiss-Prot reviewed
Q5TC04	ATAS1_HUMAN	Putative uncharacterized protein ATP1A1-AS1 OS=Homo sapiens OX=9606 GN=ATP1A1-AS1 PE=5 SV=1	95	non-HK		not_mapped_to_ensg	sp	ATAS1_HUMAN	Swiss-Prot reviewed
Q6QN14	U17L6_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 6 OS=Homo sapiens OX=9606 GN=USP17L6P PE=1 SV=2	398	non-HK		not_mapped_to_ensg	sp	U17L6_HUMAN	Swiss-Prot reviewed
Q96MF4	CC140_HUMAN	Coiled-coil domain-containing protein 140 OS=Homo sapiens OX=9606 GN=CCDC140 PE=1 SV=1	163	non-HK		not_mapped_to_ensg	sp	CC140_HUMAN	Swiss-Prot reviewed
P0CAT3	TLXNB_HUMAN	Putative TLX1 neighbor protein OS=Homo sapiens OX=9606 GN=TLX1NB PE=5 SV=1	122	non-HK		not_mapped_to_ensg	sp	TLXNB_HUMAN	Swiss-Prot reviewed
P59022	DSC10_HUMAN	Down syndrome critical region protein 10 OS=Homo sapiens OX=9606 GN=DSCR10 PE=5 SV=1	87	non-HK		not_mapped_to_ensg	sp	DSC10_HUMAN	Swiss-Prot reviewed
Q5VSP4	LC1L1_HUMAN	Putative lipocalin 1-like protein 1 OS=Homo sapiens OX=9606 GN=LCN1P1 PE=5 SV=1	162	non-HK		not_mapped_to_ensg	sp	LC1L1_HUMAN	Swiss-Prot reviewed
Q96PQ5	IPP2L_HUMAN	Putative protein phosphatase inhibitor 2-like protein 1 OS=Homo sapiens OX=9606 GN=PPP1R2P1 PE=5 SV=1	205	non-HK		not_mapped_to_ensg	sp	IPP2L_HUMAN	Swiss-Prot reviewed
Q9BXE9	VN1R3_HUMAN	Vomeronasal type-1 receptor 3 OS=Homo sapiens OX=9606 GN=VN1R3 PE=2 SV=1	311	non-HK		not_mapped_to_ensg	sp	VN1R3_HUMAN	Swiss-Prot reviewed
P0C7N8	OR9G9_HUMAN	Olfactory receptor 9G9 OS=Homo sapiens OX=9606 GN=OR9G9 PE=3 SV=1	305	non-HK		not_mapped_to_ensg	sp	OR9G9_HUMAN	Swiss-Prot reviewed
P0C841	FA66E_HUMAN	Putative protein FAM66E OS=Homo sapiens OX=9606 GN=FAM66E PE=5 SV=1	47	non-HK		not_mapped_to_ensg	sp	FA66E_HUMAN	Swiss-Prot reviewed
P0CJ68	HMN1_HUMAN	Humanin-like 1 OS=Homo sapiens OX=9606 GN=MTRNR2L1 PE=2 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN1_HUMAN	Swiss-Prot reviewed
P0CJ86	DU4L3_HUMAN	Double homeobox protein 4-like protein 3 OS=Homo sapiens OX=9606 GN=DUX4L3 PE=3 SV=1	424	non-HK		not_mapped_to_ensg	sp	DU4L3_HUMAN	Swiss-Prot reviewed
P63128	POK9_HUMAN	Endogenous retrovirus group K member 9 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-9 PE=1 SV=3	1117	non-HK		not_mapped_to_ensg	sp	POK9_HUMAN	Swiss-Prot reviewed
Q6ZV60	YL023_HUMAN	Putative uncharacterized protein encoded by LINC00173 OS=Homo sapiens OX=9606 GN=LINC00173 PE=5 SV=1	143	non-HK		not_mapped_to_ensg	sp	YL023_HUMAN	Swiss-Prot reviewed
Q7Z5P9	MUC19_HUMAN	Mucin-19 OS=Homo sapiens OX=9606 GN=MUC19 PE=1 SV=3	8384	non-HK		not_mapped_to_ensg	sp	MUC19_HUMAN	Swiss-Prot reviewed
Q9NZY2	FA30A_HUMAN	Putative uncharacterized protein FAM30A OS=Homo sapiens OX=9606 GN=FAM30A PE=5 SV=2	134	non-HK		not_mapped_to_ensg	sp	FA30A_HUMAN	Swiss-Prot reviewed
P02746	C1QB_HUMAN	Complement C1q subcomponent subunit B OS=Homo sapiens OX=9606 GN=C1QB PE=1 SV=3	253	non-HK		not_mapped_to_ensg	sp	C1QB_HUMAN	Swiss-Prot reviewed
P0CJ74	HMN7_HUMAN	Humanin-like 7 OS=Homo sapiens OX=9606 GN=MTRNR2L7 PE=2 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN7_HUMAN	Swiss-Prot reviewed
P0CJ89	DU4L6_HUMAN	Double homeobox protein 4-like protein 6 OS=Homo sapiens OX=9606 GN=DUX4L6 PE=3 SV=1	424	non-HK		not_mapped_to_ensg	sp	DU4L6_HUMAN	Swiss-Prot reviewed
P0CJ90	DU4L7_HUMAN	Double homeobox protein 4-like protein 7 OS=Homo sapiens OX=9606 GN=DUX4L7 PE=3 SV=1	424	non-HK		not_mapped_to_ensg	sp	DU4L7_HUMAN	Swiss-Prot reviewed
Q8IX06	GOR_HUMAN	Putative exonuclease GOR OS=Homo sapiens OX=9606 GN=REXO1L1P PE=5 SV=2	675	non-HK		not_mapped_to_ensg	sp	GOR_HUMAN	Swiss-Prot reviewed
Q8IZP2	ST134_HUMAN	Putative protein FAM10A4 OS=Homo sapiens OX=9606 GN=ST13P4 PE=5 SV=1	240	non-HK		not_mapped_to_ensg	sp	ST134_HUMAN	Swiss-Prot reviewed
Q9NRI7	PPY2_HUMAN	Putative pancreatic polypeptide 2 OS=Homo sapiens OX=9606 GN=PPY2P PE=5 SV=1	21	non-HK		not_mapped_to_ensg	sp	PPY2_HUMAN	Swiss-Prot reviewed
P0CK97	S35E2_HUMAN	Solute carrier family 35 member E2A OS=Homo sapiens OX=9606 GN=SLC35E2A PE=1 SV=1	266	non-HK		not_mapped_to_ensg	sp	S35E2_HUMAN	Swiss-Prot reviewed
Q6ZTR6	ZNFDT_HUMAN	Putative uncharacterized protein ZNF516-DT OS=Homo sapiens OX=9606 GN=ZNF516-DT PE=5 SV=1	163	non-HK		not_mapped_to_ensg	sp	ZNFDT_HUMAN	Swiss-Prot reviewed
Q96P20	NLRP3_HUMAN	NACHT, LRR and PYD domains-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRP3 PE=1 SV=3	1036	non-HK		not_mapped_to_ensg	sp	NLRP3_HUMAN	Swiss-Prot reviewed
Q9H2U6	CO005_HUMAN	Putative uncharacterized protein encoded by LINC00597 OS=Homo sapiens OX=9606 GN=LINC00597 PE=5 SV=1	94	non-HK		not_mapped_to_ensg	sp	CO005_HUMAN	Swiss-Prot reviewed
A8MWA4	Z705E_HUMAN	Putative zinc finger protein 705EP OS=Homo sapiens OX=9606 GN=ZNF705EP PE=5 SV=2	300	non-HK		not_mapped_to_ensg	sp	Z705E_HUMAN	Swiss-Prot reviewed
B0L3A2	DESPR_HUMAN	Dual endothelin-1/VEGF signal peptide receptor OS=Homo sapiens OX=9606 GN=FBXW7-AS1 PE=1 SV=1	85	non-HK		not_mapped_to_ensg	sp	DESPR_HUMAN	Swiss-Prot reviewed
P49335	PO3F4_HUMAN	POU domain, class 3, transcription factor 4 OS=Homo sapiens OX=9606 GN=POU3F4 PE=1 SV=2	361	non-HK		not_mapped_to_ensg	sp	PO3F4_HUMAN	Swiss-Prot reviewed
Q8N326	CJ111_HUMAN	Putative uncharacterized protein RPP38-DT OS=Homo sapiens OX=9606 GN=RPP38-DT PE=5 SV=1	155	non-HK		not_mapped_to_ensg	sp	CJ111_HUMAN	Swiss-Prot reviewed
Q8TCZ7	CU074_HUMAN	Putative uncharacterized protein encoded by LINC00308 OS=Homo sapiens OX=9606 GN=LINC00308 PE=5 SV=2	52	non-HK		not_mapped_to_ensg	sp	CU074_HUMAN	Swiss-Prot reviewed
P0DTE2	HV511_HUMAN	Probable non-functional immunoglobulin heavy variable 8-51-1 OS=Homo sapiens OX=9606 GN=IGHV8-51-1 PE=1 SV=1	115	non-HK		not_mapped_to_ensg	sp	HV511_HUMAN	Swiss-Prot reviewed
Q75NE6	MIRH1_HUMAN	Putative microRNA 17 host gene protein OS=Homo sapiens OX=9606 GN=MIR17HG PE=5 SV=1	70	non-HK		not_mapped_to_ensg	sp	MIRH1_HUMAN	Swiss-Prot reviewed
Q8NG04	S2610_HUMAN	Putative solute carrier family 26 member 10P OS=Homo sapiens OX=9606 GN=SLC26A10P PE=5 SV=1	563	non-HK		not_mapped_to_ensg	sp	S2610_HUMAN	Swiss-Prot reviewed
Q8TF27	AGA11_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11 OS=Homo sapiens OX=9606 GN=AGAP11 PE=2 SV=2	550	non-HK		not_mapped_to_ensg	sp	AGA11_HUMAN	Swiss-Prot reviewed
P0CE67	CC079_HUMAN	Putative uncharacterized protein encoded by LINC02877 OS=Homo sapiens OX=9606 GN=LINC02877 PE=5 SV=1	100	non-HK		not_mapped_to_ensg	sp	CC079_HUMAN	Swiss-Prot reviewed
Q13066	GAG2B_HUMAN	G antigen 2B/2C OS=Homo sapiens OX=9606 GN=GAGE2B PE=1 SV=1	116	non-HK		not_mapped_to_ensg	sp	GAG2B_HUMAN	Swiss-Prot reviewed
Q6ZPB5	SDIM1_HUMAN	Stress-responsive DNAJB4-interacting membrane protein 1 OS=Homo sapiens OX=9606 GN=SDIM1 PE=1 SV=2	146	non-HK		not_mapped_to_ensg	sp	SDIM1_HUMAN	Swiss-Prot reviewed
Q7Z7M1	AGRD2_HUMAN	Adhesion G protein-coupled receptor D2 OS=Homo sapiens OX=9606 GN=ADGRD2 PE=2 SV=1	963	non-HK		not_mapped_to_ensg	sp	AGRD2_HUMAN	Swiss-Prot reviewed
A6NC78	GOG8I_HUMAN	Putative golgin subfamily A member 8I OS=Homo sapiens OX=9606 GN=GOLGA8IP PE=5 SV=2	632	non-HK		not_mapped_to_ensg	sp	GOG8I_HUMAN	Swiss-Prot reviewed
P0DY26	D109D_HUMAN	Beta-defensin 109D OS=Homo sapiens OX=9606 GN=DEFB109D PE=3 SV=1	87	non-HK		not_mapped_to_ensg	sp	D109D_HUMAN	Swiss-Prot reviewed
Q96EL1	INKA1_HUMAN	PAK4-inhibitor INKA1 OS=Homo sapiens OX=9606 GN=INKA1 PE=1 SV=2	287	non-HK		not_mapped_to_ensg	sp	INKA1_HUMAN	Swiss-Prot reviewed
Q96TA0	PCDBI_HUMAN	Putative protocadherin beta-18 OS=Homo sapiens OX=9606 GN=PCDHB18P PE=5 SV=2	734	non-HK		not_mapped_to_ensg	sp	PCDBI_HUMAN	Swiss-Prot reviewed
Q9H3B2	Q9H3B2_HUMAN	PRO1477 OS=Homo sapiens OX=9606 PE=2 SV=1	83	non-HK		not_mapped_to_ensg	tr	Q9H3B2_HUMAN	TrEMBL unreviewed
Q9NQ39	RS10L_HUMAN	Putative ribosomal protein eS10-like OS=Homo sapiens OX=9606 GN=RPS10P5 PE=5 SV=1	176	non-HK		not_mapped_to_ensg	sp	RS10L_HUMAN	Swiss-Prot reviewed
A1L3X4	MT1DP_HUMAN	Putative metallothionein MT1DP OS=Homo sapiens OX=9606 GN=MT1DP PE=5 SV=1	49	non-HK		not_mapped_to_ensg	sp	MT1DP_HUMAN	Swiss-Prot reviewed
P0C853	BAAS2_HUMAN	Putative uncharacterized protein BAALC-AS2 OS=Homo sapiens OX=9606 GN=BAALC-AS2 PE=5 SV=1	105	non-HK		not_mapped_to_ensg	sp	BAAS2_HUMAN	Swiss-Prot reviewed
I3L0S3	PYAS1_HUMAN	Putative uncharacterized protein PYCARD-AS1 OS=Homo sapiens OX=9606 GN=PYCARD-AS1 PE=5 SV=1	204	non-HK		not_mapped_to_ensg	sp	PYAS1_HUMAN	Swiss-Prot reviewed
P63132	PO113_HUMAN	Endogenous retrovirus group K member 113 Pol protein OS=Homo sapiens OX=9606 GN=HERVK_113 PE=3 SV=2	959	non-HK		not_mapped_to_ensg	sp	PO113_HUMAN	Swiss-Prot reviewed
Q13166	CATR1_HUMAN	CATR tumorigenic conversion 1 protein OS=Homo sapiens OX=9606 GN=CATR1 PE=2 SV=1	79	non-HK		not_mapped_to_ensg	sp	CATR1_HUMAN	Swiss-Prot reviewed
Q6ZSB3	CB046_HUMAN	Putative uncharacterized protein encoded by LINC00299 OS=Homo sapiens OX=9606 GN=LINC00299 PE=5 SV=1	139	non-HK		not_mapped_to_ensg	sp	CB046_HUMAN	Swiss-Prot reviewed
Q8NGW6	OR6K6_HUMAN	Olfactory receptor 6K6 OS=Homo sapiens OX=9606 GN=OR6K6 PE=2 SV=2	343	non-HK		not_mapped_to_ensg	sp	OR6K6_HUMAN	Swiss-Prot reviewed
Q96MU5	CQ077_HUMAN	Uncharacterized protein CD300LD-AS1 OS=Homo sapiens OX=9606 GN=CD300LD-AS1 PE=2 SV=2	243	non-HK		not_mapped_to_ensg	sp	CQ077_HUMAN	Swiss-Prot reviewed
Q9BVR0	HRC23_HUMAN	Putative HERC2-like protein 3 OS=Homo sapiens OX=9606 GN=HERC2P3 PE=5 SV=2	1158	non-HK		not_mapped_to_ensg	sp	HRC23_HUMAN	Swiss-Prot reviewed
Q9NV39	PRR34_HUMAN	Proline-rich protein 34 OS=Homo sapiens OX=9606 GN=PRR34 PE=1 SV=1	138	non-HK		not_mapped_to_ensg	sp	PRR34_HUMAN	Swiss-Prot reviewed
A4D0Y5	CG077_HUMAN	Uncharacterized protein encoded by LINC03043 OS=Homo sapiens OX=9606 GN=LINC03043 PE=4 SV=1	90	non-HK		not_mapped_to_ensg	sp	CG077_HUMAN	Swiss-Prot reviewed
Q5T035	CI129_HUMAN	Putative uncharacterized protein FAM120A2P OS=Homo sapiens OX=9606 GN=FAM120A2P PE=4 SV=1	196	non-HK		not_mapped_to_ensg	sp	CI129_HUMAN	Swiss-Prot reviewed
Q68DN1	S31H1_HUMAN	Spermatogenesis-associated protein 31H1 OS=Homo sapiens OX=9606 GN=SPATA31H1 PE=1 SV=3	1984	non-HK		not_mapped_to_ensg	sp	S31H1_HUMAN	Swiss-Prot reviewed
Q8IVE0	CROL2_HUMAN	Putative ciliary rootlet coiled-coil protein-like 2 protein OS=Homo sapiens OX=9606 GN=CROCCP3 PE=5 SV=1	287	non-HK		not_mapped_to_ensg	sp	CROL2_HUMAN	Swiss-Prot reviewed
Q8N1I8	CAAS1_HUMAN	Putative uncharacterized protein encoded by CACTIN-AS1 OS=Homo sapiens OX=9606 GN=CACTIN-AS1 PE=2 SV=1	211	non-HK		not_mapped_to_ensg	sp	CAAS1_HUMAN	Swiss-Prot reviewed
Q8NH21	OR4F5_HUMAN	Olfactory receptor 4F5 OS=Homo sapiens OX=9606 GN=OR4F5 PE=3 SV=1	305	non-HK		not_mapped_to_ensg	sp	OR4F5_HUMAN	Swiss-Prot reviewed
Q96KT6	CH014_HUMAN	Putative uncharacterized protein encoded by LINC00208 OS=Homo sapiens OX=9606 GN=LINC00208 PE=5 SV=1	92	non-HK		not_mapped_to_ensg	sp	CH014_HUMAN	Swiss-Prot reviewed
Q9BZC5	Q9BZC5_HUMAN	FKSG35 OS=Homo sapiens OX=9606 GN=FKSG35 PE=2 SV=1	98	non-HK		not_mapped_to_ensg	tr	Q9BZC5_HUMAN	TrEMBL unreviewed
P59091	CU093_HUMAN	Putative uncharacterized protein encoded by LINC00315 OS=Homo sapiens OX=9606 GN=LINC00315 PE=5 SV=1	139	non-HK		not_mapped_to_ensg	sp	CU093_HUMAN	Swiss-Prot reviewed
Q6NUI1	C144L_HUMAN	Putative coiled-coil domain-containing protein 144 N-terminal-like OS=Homo sapiens OX=9606 GN=CCDC144NL PE=5 SV=1	221	non-HK		not_mapped_to_ensg	sp	C144L_HUMAN	Swiss-Prot reviewed
Q9GIP4	LAT1L_HUMAN	Putative L-type amino acid transporter 1-like protein IMAA OS=Homo sapiens OX=9606 GN=SLC7A5P2 PE=5 SV=2	190	non-HK		not_mapped_to_ensg	sp	LAT1L_HUMAN	Swiss-Prot reviewed
A0PJZ0	A20A5_HUMAN	Putative ankyrin repeat domain-containing protein 20A5 OS=Homo sapiens OX=9606 GN=ANKRD20A5P PE=5 SV=1	165	non-HK		not_mapped_to_ensg	sp	A20A5_HUMAN	Swiss-Prot reviewed
A6NDX4	YO011_HUMAN	Putative transmembrane protein ENSP00000320207 OS=Homo sapiens OX=9606 PE=5 SV=1	124	non-HK		not_mapped_to_ensg	sp	YO011_HUMAN	Swiss-Prot reviewed
A6NHS1	YK042_HUMAN	Putative uncharacterized protein ENSP00000347057 OS=Homo sapiens OX=9606 PE=5 SV=3	94	non-HK		not_mapped_to_ensg	sp	YK042_HUMAN	Swiss-Prot reviewed
A8MT66	YU005_HUMAN	Putative uncharacterized protein ENSP00000383407 OS=Homo sapiens OX=9606 PE=5 SV=1	165	non-HK		not_mapped_to_ensg	sp	YU005_HUMAN	Swiss-Prot reviewed
A8MUN3	YQ048_HUMAN	Putative uncharacterized protein ENSP00000381830 OS=Homo sapiens OX=9606 PE=5 SV=1	132	non-HK		not_mapped_to_ensg	sp	YQ048_HUMAN	Swiss-Prot reviewed
P0CL84	ST3L2_HUMAN	Putative STAG3-like protein 2 OS=Homo sapiens OX=9606 GN=STAG3L2 PE=5 SV=1	134	non-HK		not_mapped_to_ensg	sp	ST3L2_HUMAN	Swiss-Prot reviewed
P59036	CU082_HUMAN	Putative uncharacterized protein encoded by LINC00310 OS=Homo sapiens OX=9606 GN=LINC00310 PE=5 SV=1	64	non-HK		not_mapped_to_ensg	sp	CU082_HUMAN	Swiss-Prot reviewed
Q6UXV3	YV010_HUMAN	Uncharacterized protein UNQ6126/PRO20091 OS=Homo sapiens OX=9606 GN=UNQ6126/PRO20091 PE=2 SV=1	157	non-HK		not_mapped_to_ensg	sp	YV010_HUMAN	Swiss-Prot reviewed
Q6ZRU5	YQ032_HUMAN	Putative uncharacterized protein FLJ46089 OS=Homo sapiens OX=9606 PE=5 SV=2	148	non-HK		not_mapped_to_ensg	sp	YQ032_HUMAN	Swiss-Prot reviewed
Q6ZSR3	YO027_HUMAN	Putative uncharacterized protein FLJ45275, mitochondrial OS=Homo sapiens OX=9606 PE=5 SV=1	168	non-HK		not_mapped_to_ensg	sp	YO027_HUMAN	Swiss-Prot reviewed
Q6ZSR9	YJ005_HUMAN	Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=1 SV=2	355	non-HK		not_mapped_to_ensg	sp	YJ005_HUMAN	Swiss-Prot reviewed
Q96MT0	YJ006_HUMAN	Putative uncharacterized protein FLJ31958 OS=Homo sapiens OX=9606 PE=1 SV=1	163	non-HK		not_mapped_to_ensg	sp	YJ006_HUMAN	Swiss-Prot reviewed
A8MUI8	YA034_HUMAN	Putative UPF0607 protein ENSP00000383783 OS=Homo sapiens OX=9606 PE=3 SV=2	341	non-HK		not_mapped_to_ensg	sp	YA034_HUMAN	Swiss-Prot reviewed
A8MWP4	YU008_HUMAN	Putative uncharacterized protein ENSP00000401716 OS=Homo sapiens OX=9606 PE=5 SV=1	228	non-HK		not_mapped_to_ensg	sp	YU008_HUMAN	Swiss-Prot reviewed
P0DP04	HV43D_HUMAN	Immunoglobulin heavy variable 3-43D OS=Homo sapiens OX=9606 GN=IGHV3-43D PE=3 SV=1	118	non-HK		not_mapped_to_ensg	sp	HV43D_HUMAN	Swiss-Prot reviewed
Q02817	MUC2_HUMAN	Mucin-2 OS=Homo sapiens OX=9606 GN=MUC2 PE=1 SV=3	5289	non-HK		not_mapped_to_ensg	sp	MUC2_HUMAN	Swiss-Prot reviewed
Q5QFB9	PAPAS_HUMAN	Protein PAPPAS OS=Homo sapiens OX=9606 GN=PAPPA-AS1 PE=5 SV=1	102	non-HK		not_mapped_to_ensg	sp	PAPAS_HUMAN	Swiss-Prot reviewed
Q6ZS46	YF009_HUMAN	Putative uncharacterized protein FLJ45840 OS=Homo sapiens OX=9606 PE=5 SV=2	218	non-HK		not_mapped_to_ensg	sp	YF009_HUMAN	Swiss-Prot reviewed
Q86TA4	YB049_HUMAN	Putative uncharacterized protein FLJ44553 OS=Homo sapiens OX=9606 PE=5 SV=2	180	non-HK		not_mapped_to_ensg	sp	YB049_HUMAN	Swiss-Prot reviewed
