uniprot_accession	entry_name	description	protein_length_aa	hk_status_protein_level	hk_source	gene_id	hk_status_gene_level	n_tissues_expressed	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues	breadth_group
Q9H832	UBE2Z_HUMAN	Ubiquitin-conjugating enzyme E2 Z OS=Homo sapiens OX=9606 GN=UBE2Z PE=1 SV=2	354	HK	HRT Atlas	ENSG00000159202	HK	36	34.516666666666666	34.6	HK
Q8N365	CIART_HUMAN	Circadian-associated transcriptional repressor OS=Homo sapiens OX=9606 GN=CIART PE=1 SV=1	385	non-HK		ENSG00000159208	non-HK	36	12.31388888888889	9.55	broad non-HK
Q96H20	SNF8_HUMAN	Vacuolar-sorting protein SNF8 OS=Homo sapiens OX=9606 GN=SNF8 PE=1 SV=1	258	HK	HRT Atlas	ENSG00000159210	HK	36	25.952777777777776	24.15	HK
Q96NY7	CLIC6_HUMAN	Chloride intracellular channel protein 6 OS=Homo sapiens OX=9606 GN=CLIC6 PE=1 SV=3	704	non-HK		ENSG00000159212	non-HK	26	10.323076923076922	4.0	intermediate non-HK
Q8N4L8	CCD24_HUMAN	Coiled-coil domain-containing protein 24 OS=Homo sapiens OX=9606 GN=CCDC24 PE=1 SV=1	307	non-HK		ENSG00000159214	non-HK	35	5.337142857142857	4.2	intermediate non-HK
Q01196	RUNX1_HUMAN	Runt-related transcription factor 1 OS=Homo sapiens OX=9606 GN=RUNX1 PE=1 SV=3	453	non-HK		ENSG00000159216	non-HK	34	8.047058823529412	6.15	intermediate non-HK
Q9NZI8	IF2B1_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2	577	non-HK		ENSG00000159217	non-HK	1	3.2	3.2	restricted non-HK
P09681	GIP_HUMAN	Gastric inhibitory polypeptide OS=Homo sapiens OX=9606 GN=GIP PE=1 SV=1	153	non-HK		ENSG00000159224	non-HK	1	1.3	1.3	restricted non-HK
P16152	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3	277	non-HK		ENSG00000159228	non-HK	36	85.11666666666666	58.8	broad non-HK
O75828	CBR3_HUMAN	Carbonyl reductase [NADPH] 3 OS=Homo sapiens OX=9606 GN=CBR3 PE=1 SV=3	277	non-HK		ENSG00000159231	non-HK	35	11.814285714285715	9.0	intermediate non-HK
Q9UKL4	CXD2_HUMAN	Gap junction delta-2 protein OS=Homo sapiens OX=9606 GN=GJD2 PE=1 SV=1	321	non-HK		ENSG00000159248	non-HK	6	6.066666666666666	3.3	restricted non-HK
P68032	ACTC_HUMAN	Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1	377	non-HK		ENSG00000159251	non-HK	36	355.6361111111111	5.35	broad non-HK
Q14149	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 OS=Homo sapiens OX=9606 GN=MORC3 PE=1 SV=3	939	non-HK		ENSG00000159256	non-HK	36	7.008333333333334	6.75	broad non-HK
Q13112	CAF1B_HUMAN	Chromatin assembly factor 1 subunit B OS=Homo sapiens OX=9606 GN=CHAF1B PE=1 SV=1	559	non-HK		ENSG00000159259	non-HK	26	2.080769230769231	1.4	intermediate non-HK
O95500	CLD14_HUMAN	Claudin-14 OS=Homo sapiens OX=9606 GN=CLDN14 PE=1 SV=1	239	non-HK		ENSG00000159261	non-HK	2	23.9	23.9	restricted non-HK
Q14190	SIM2_HUMAN	Single-minded homolog 2 OS=Homo sapiens OX=9606 GN=SIM2 PE=1 SV=2	667	non-HK		ENSG00000159263	non-HK	7	16.285714285714285	5.3	restricted non-HK
P50747	BPL1_HUMAN	Biotin--protein ligase OS=Homo sapiens OX=9606 GN=HLCS PE=1 SV=1	726	non-HK		ENSG00000159267	non-HK	36	4.533333333333333	4.25	broad non-HK
Q9NYA3	GOG6A_HUMAN	Golgin subfamily A member 6A OS=Homo sapiens OX=9606 GN=GOLGA6A PE=1 SV=3	693	non-HK		ENSG00000159289	non-HK	1	12.2	12.2	restricted non-HK
Q8IWY4	SCUB1_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SCUBE1 PE=1 SV=3	988	non-HK		ENSG00000159307	non-HK	19	4.88421052631579	3.6	intermediate non-HK
Q6ZUM4	RHG27_HUMAN	Rho GTPase-activating protein 27 OS=Homo sapiens OX=9606 GN=ARHGAP27 PE=1 SV=3	889	non-HK		ENSG00000159314	non-HK	35	17.608571428571427	11.4	intermediate non-HK
Q9BRR6	ADPGK_HUMAN	ADP-dependent glucokinase OS=Homo sapiens OX=9606 GN=ADPGK PE=1 SV=1	497	non-HK		ENSG00000159322	non-HK	36	7.877777777777778	7.7	broad non-HK
P20962	PTMS_HUMAN	Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2	102	non-HK		ENSG00000159335	non-HK	36	207.7611111111111	179.2	broad non-HK
Q86XP0	PA24D_HUMAN	Cytosolic phospholipase A2 delta OS=Homo sapiens OX=9606 GN=PLA2G4D PE=1 SV=2	818	non-HK		ENSG00000159337	non-HK	5	9.76	13.6	restricted non-HK
Q9UM07	PADI4_HUMAN	Protein-arginine deiminase type-4 OS=Homo sapiens OX=9606 GN=PADI4 PE=1 SV=2	663	non-HK		ENSG00000159339	non-HK	5	8.2	1.7	restricted non-HK
Q96A54	PAQR1_HUMAN	Adiponectin receptor protein 1 OS=Homo sapiens OX=9606 GN=ADIPOR1 PE=1 SV=1	375	HK	HRT Atlas	ENSG00000159346	HK	36	59.675000000000004	52.0	HK
Q9UHQ9	NB5R1_HUMAN	NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1	305	HK	HRT Atlas	ENSG00000159348	HK	36	62.116666666666674	39.75	HK
P55036	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1	377	HK	HRT Atlas	ENSG00000159352	HK	36	124.82777777777778	109.80000000000001	HK
Q9NQ11	AT132_HUMAN	Polyamine-transporting ATPase 13A2 OS=Homo sapiens OX=9606 GN=ATP13A2 PE=1 SV=2	1180	non-HK		ENSG00000159363	non-HK	36	26.655555555555555	15.8	broad non-HK
Q8TC57	M1AP_HUMAN	Meiosis 1 arrest protein OS=Homo sapiens OX=9606 GN=M1AP PE=1 SV=1	530	non-HK		ENSG00000159374	non-HK	3	2.4333333333333336	1.4	restricted non-HK
P28070	PSB4_HUMAN	Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4	264	HK	HRT Atlas	ENSG00000159377	HK	36	180.32222222222222	176.2	HK
P78412	IRX6_HUMAN	Iroquois-class homeodomain protein IRX-6 OS=Homo sapiens OX=9606 GN=IRX6 PE=1 SV=3	446	non-HK		ENSG00000159387	non-HK	11	4.472727272727273	3.2	restricted non-HK
P78543	BTG2_HUMAN	Protein BTG2 OS=Homo sapiens OX=9606 GN=BTG2 PE=1 SV=1	158	non-HK		ENSG00000159388	non-HK	36	123.82499999999999	98.4	broad non-HK
Q6NT32	EST5A_HUMAN	Carboxylesterase 5A OS=Homo sapiens OX=9606 GN=CES5A PE=1 SV=1	575	non-HK		ENSG00000159398	non-HK	1	3.7	3.7	restricted non-HK
P52789	HXK2_HUMAN	Hexokinase-2 OS=Homo sapiens OX=9606 GN=HK2 PE=1 SV=2	917	non-HK		ENSG00000159399	non-HK	35	13.505714285714285	6.8	intermediate non-HK
Q5SZQ8	CELF3_HUMAN	CUGBP Elav-like family member 3 OS=Homo sapiens OX=9606 GN=CELF3 PE=1 SV=1	465	non-HK		ENSG00000159409	non-HK	16	39.275	18.799999999999997	intermediate non-HK
P30038	AL4A1_HUMAN	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3	563	non-HK		ENSG00000159423	non-HK	36	39.94444444444444	15.45	broad non-HK
Q9P2P6	STAR9_HUMAN	StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3	4700	non-HK		ENSG00000159433	non-HK	29	3.786206896551724	3.1	intermediate non-HK
Q5T1C6	THEM4_HUMAN	Acyl-coenzyme A thioesterase THEM4 OS=Homo sapiens OX=9606 GN=THEM4 PE=1 SV=1	240	non-HK		ENSG00000159445	non-HK	36	3.447222222222222	3.0	broad non-HK
Q07283	TRHY_HUMAN	Trichohyalin OS=Homo sapiens OX=9606 GN=TCHH PE=1 SV=2	1943	non-HK		ENSG00000159450	non-HK	2	19.55	19.55	restricted non-HK
O14633	LCE2B_HUMAN	Late cornified envelope protein 2B OS=Homo sapiens OX=9606 GN=LCE2B PE=1 SV=1	110	non-HK		ENSG00000159455	non-HK	2	358.8	358.8	restricted non-HK
Q8IWV7	UBR1_HUMAN	E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens OX=9606 GN=UBR1 PE=1 SV=1	1749	non-HK		ENSG00000159459	non-HK	36	6.627777777777777	6.35	broad non-HK
Q9UKV5	AMFR_HUMAN	E3 ubiquitin-protein ligase AMFR OS=Homo sapiens OX=9606 GN=AMFR PE=1 SV=2	643	HK	HRT Atlas	ENSG00000159461	HK	36	35.044444444444444	28.15	HK
Q96G25	MED8_HUMAN	Mediator of RNA polymerase II transcription subunit 8 OS=Homo sapiens OX=9606 GN=MED8 PE=1 SV=2	268	non-HK		ENSG00000159479	non-HK	36	24.1	22.85	broad non-HK
Q8IZJ4	RGDSR_HUMAN	Ral-GDS-related protein OS=Homo sapiens OX=9606 GN=RGL4 PE=1 SV=1	473	non-HK		ENSG00000159496	non-HK	7	6.271428571428571	3.7	restricted non-HK
Q9BYE4	SPR2G_HUMAN	Small proline-rich protein 2G OS=Homo sapiens OX=9606 GN=SPRR2G PE=1 SV=1	73	non-HK		ENSG00000159516	non-HK	7	139.55714285714285	9.7	restricted non-HK
Q96LB9	PGRP3_HUMAN	Peptidoglycan recognition protein 3 OS=Homo sapiens OX=9606 GN=PGLYRP3 PE=1 SV=1	341	non-HK		ENSG00000159527	non-HK	1	1.0	1.0	restricted non-HK
Q96A47	ISL2_HUMAN	Insulin gene enhancer protein ISL-2 OS=Homo sapiens OX=9606 GN=ISL2 PE=1 SV=1	359	non-HK		ENSG00000159556	non-HK	9	2.033333333333333	1.9	restricted non-HK
Q96DX4	RSPRY_HUMAN	RING finger and SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSPRY1 PE=1 SV=1	576	non-HK		ENSG00000159579	non-HK	36	8.825	8.5	broad non-HK
Q96LX7	CCD17_HUMAN	Coiled-coil domain-containing protein 17 OS=Homo sapiens OX=9606 GN=CCDC17 PE=1 SV=2	622	non-HK		ENSG00000159588	non-HK	3	6.5	3.9	restricted non-HK
Q9HC44	GPBL1_HUMAN	Vasculin-like protein 1 OS=Homo sapiens OX=9606 GN=GPBP1L1 PE=1 SV=1	474	non-HK		ENSG00000159592	non-HK	36	30.28611111111111	30.95	broad non-HK
Q13564	ULA1_HUMAN	NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens OX=9606 GN=NAE1 PE=1 SV=1	534	non-HK		ENSG00000159593	non-HK	36	23.21388888888889	22.6	broad non-HK
Q5SWH9	TMM69_HUMAN	Transmembrane protein 69 OS=Homo sapiens OX=9606 GN=TMEM69 PE=1 SV=1	247	non-HK		ENSG00000159596	non-HK	36	14.255555555555556	13.55	broad non-HK
Q8IZF4	AGRG5_HUMAN	Adhesion G-protein coupled receptor G5 OS=Homo sapiens OX=9606 GN=ADGRG5 PE=1 SV=3	528	non-HK		ENSG00000159618	non-HK	3	3.6333333333333333	3.6	restricted non-HK
Q8IY82	DRC7_HUMAN	Dynein regulatory complex subunit 7 OS=Homo sapiens OX=9606 GN=DRC7 PE=1 SV=3	874	non-HK		ENSG00000159625	non-HK	8	6.725	1.95	restricted non-HK
P12821	ACE_HUMAN	Angiotensin-converting enzyme OS=Homo sapiens OX=9606 GN=ACE PE=1 SV=1	1306	non-HK		ENSG00000159640	non-HK	35	12.137142857142857	4.2	intermediate non-HK
Q6URK8	SMIP8_HUMAN	Sperm microtubule inner protein 8 OS=Homo sapiens OX=9606 GN=SPMIP8 PE=1 SV=4	216	non-HK		ENSG00000159648	non-HK	2	5.8	5.8	restricted non-HK
Q96N76	HUTU_HUMAN	Urocanate hydratase OS=Homo sapiens OX=9606 GN=UROC1 PE=1 SV=1	676	non-HK		ENSG00000159650	non-HK	1	112.6	112.6	restricted non-HK
O75071	EFC14_HUMAN	EF-hand calcium-binding domain-containing protein 14 OS=Homo sapiens OX=9606 GN=EFCAB14 PE=1 SV=1	495	HK	HRT Atlas	ENSG00000159658	HK	36	8.988888888888889	8.850000000000001	HK
Q9BUD6	SPON2_HUMAN	Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4	331	non-HK		ENSG00000159674	non-HK	35	47.86	40.4	intermediate non-HK
Q9BRQ6	MIC25_HUMAN	MICOS complex subunit MIC25 OS=Homo sapiens OX=9606 GN=CHCHD6 PE=1 SV=1	235	non-HK		ENSG00000159685	non-HK	36	18.230555555555554	11.7	broad non-HK
Q13363	CTBP1_HUMAN	C-terminal-binding protein 1 OS=Homo sapiens OX=9606 GN=CTBP1 PE=1 SV=2	440	HK	HRT Atlas	ENSG00000159692	HK	36	93.67222222222222	88.9	HK
Q1X8D7	LRC36_HUMAN	Leucine-rich repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=LRRC36 PE=1 SV=2	754	non-HK		ENSG00000159708	non-HK	1	19.3	19.3	restricted non-HK
Q9BW30	TPPP3_HUMAN	Tubulin polymerization-promoting protein family member 3 OS=Homo sapiens OX=9606 GN=TPPP3 PE=1 SV=1	176	non-HK		ENSG00000159713	non-HK	36	81.63888888888889	40.349999999999994	broad non-HK
Q8WTX9	ZDHC1_HUMAN	Palmitoyltransferase ZDHHC1 OS=Homo sapiens OX=9606 GN=ZDHHC1 PE=1 SV=1	485	non-HK		ENSG00000159714	non-HK	35	9.90857142857143	9.9	intermediate non-HK
P61421	VA0D1_HUMAN	V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1	351	HK	HRT Atlas	ENSG00000159720	HK	36	77.33333333333333	72.25	HK
O00253	AGRP_HUMAN	Agouti-related protein OS=Homo sapiens OX=9606 GN=AGRP PE=1 SV=1	132	non-HK		ENSG00000159723	non-HK	6	10.6	2.55	restricted non-HK
Q9HCC9	LST2_HUMAN	Lateral signaling target protein 2 homolog OS=Homo sapiens OX=9606 GN=ZFYVE28 PE=1 SV=3	887	non-HK		ENSG00000159733	non-HK	36	7.997222222222224	6.1	broad non-HK
Q6F5E8	CARL2_HUMAN	Capping protein, Arp2/3 and myosin-I linker protein 2 OS=Homo sapiens OX=9606 GN=CARMIL2 PE=1 SV=2	1435	non-HK		ENSG00000159753	non-HK	16	6.71875	5.05	intermediate non-HK
Q6ZW13	CP086_HUMAN	Uncharacterized protein C16orf86 OS=Homo sapiens OX=9606 GN=C16orf86 PE=1 SV=2	317	non-HK		ENSG00000159761	non-HK	34	4.002941176470588	2.6	intermediate non-HK
P12273	PIP_HUMAN	Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1	146	non-HK		ENSG00000159763	non-HK	15	1182.6866666666667	1.9	intermediate non-HK
Q86XD5	F131B_HUMAN	Protein FAM131B OS=Homo sapiens OX=9606 GN=FAM131B PE=1 SV=3	332	non-HK		ENSG00000159784	non-HK	13	14.292307692307693	11.3	intermediate non-HK
O14924	RGS12_HUMAN	Regulator of G-protein signaling 12 OS=Homo sapiens OX=9606 GN=RGS12 PE=1 SV=1	1447	non-HK		ENSG00000159788	non-HK	36	12.069444444444445	10.0	broad non-HK
P11801	KPSH1_HUMAN	Serine/threonine-protein kinase H1 OS=Homo sapiens OX=9606 GN=PSKH1 PE=1 SV=4	424	non-HK		ENSG00000159792	non-HK	36	13.9	13.65	broad non-HK
Q15942	ZYX_HUMAN	Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1	572	HK	HRT Atlas	ENSG00000159840	HK	36	148.7	112.9	HK
Q12979	ABR_HUMAN	Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=2	859	non-HK		ENSG00000159842	non-HK	36	27.808333333333334	21.4	broad non-HK
Q6UWN5	LYPD5_HUMAN	Ly6/PLAUR domain-containing protein 5 OS=Homo sapiens OX=9606 GN=LYPD5 PE=1 SV=2	251	non-HK		ENSG00000159871	non-HK	27	4.840740740740741	2.5	intermediate non-HK
Q8IWD4	CC117_HUMAN	Coiled-coil domain-containing protein 117 OS=Homo sapiens OX=9606 GN=CCDC117 PE=1 SV=1	279	non-HK		ENSG00000159873	non-HK	36	8.797222222222222	7.7	broad non-HK
Q9UIE0	ZN230_HUMAN	Zinc finger protein 230 OS=Homo sapiens OX=9606 GN=ZNF230 PE=1 SV=3	474	non-HK		ENSG00000159882	non-HK	35	1.9400000000000002	1.9	intermediate non-HK
Q8WV48	CC107_HUMAN	Coiled-coil domain-containing protein 107 OS=Homo sapiens OX=9606 GN=CCDC107 PE=1 SV=2	283	non-HK		ENSG00000159884	non-HK	36	50.64166666666667	40.65	broad non-HK
Q9UK12	ZN222_HUMAN	Zinc finger protein 222 OS=Homo sapiens OX=9606 GN=ZNF222 PE=1 SV=2	451	non-HK		ENSG00000159885	non-HK	36	3.1555555555555554	2.8499999999999996	broad non-HK
P20594	ANPRB_HUMAN	Atrial natriuretic peptide receptor 2 OS=Homo sapiens OX=9606 GN=NPR2 PE=1 SV=1	1047	non-HK		ENSG00000159899	non-HK	36	3.45	2.6500000000000004	broad non-HK
Q9UK13	ZN221_HUMAN	Zinc finger protein 221 OS=Homo sapiens OX=9606 GN=ZNF221 PE=1 SV=4	617	non-HK		ENSG00000159905	non-HK	3	1.9666666666666668	2.2	restricted non-HK
A6NK53	ZN233_HUMAN	Zinc finger protein 233 OS=Homo sapiens OX=9606 GN=ZNF233 PE=1 SV=3	670	non-HK		ENSG00000159915	non-HK	10	1.5699999999999998	1.2	restricted non-HK
Q14590	ZN235_HUMAN	Zinc finger protein 235 OS=Homo sapiens OX=9606 GN=ZNF235 PE=1 SV=3	738	non-HK		ENSG00000159917	non-HK	36	1.7694444444444444	1.8	broad non-HK
Q9Y223	GLCNE_HUMAN	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase OS=Homo sapiens OX=9606 GN=GNE PE=1 SV=1	722	non-HK		ENSG00000159921	non-HK	36	8.36111111111111	7.2	broad non-HK
Q96RJ3	TR13C_HUMAN	Tumor necrosis factor receptor superfamily member 13C OS=Homo sapiens OX=9606 GN=TNFRSF13C PE=1 SV=1	184	non-HK		ENSG00000159958	non-HK	11	9.154545454545454	1.4	restricted non-HK
Q9NRY4	RHG35_HUMAN	Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3	1499	HK	HRT Atlas	ENSG00000160007	HK	36	10.233333333333333	8.3	HK
P43119	PI2R_HUMAN	Prostacyclin receptor OS=Homo sapiens OX=9606 GN=PTGIR PE=1 SV=1	386	non-HK		ENSG00000160013	non-HK	26	11.392307692307693	5.15	intermediate non-HK
P0DP24	CALM2_HUMAN	Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1	149	non-HK		ENSG00000160014	HK	36	305.39722222222224	177.15	HK
O00273	DFFA_HUMAN	DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1	331	non-HK		ENSG00000160049	non-HK	36	10.738888888888889	10.6	broad non-HK
Q9BUN5	CC28B_HUMAN	Coiled-coil domain-containing protein 28B OS=Homo sapiens OX=9606 GN=CCDC28B PE=1 SV=2	200	non-HK		ENSG00000160050	non-HK	36	13.863888888888889	5.8	broad non-HK
Q4KMZ1	IQCC_HUMAN	IQ domain-containing protein C OS=Homo sapiens OX=9606 GN=IQCC PE=1 SV=2	466	non-HK		ENSG00000160051	non-HK	34	1.961764705882353	1.65	intermediate non-HK
Q8WY98	TM234_HUMAN	Transmembrane protein 234 OS=Homo sapiens OX=9606 GN=TMEM234 PE=1 SV=1	164	non-HK		ENSG00000160055	non-HK	36	6.633333333333334	6.199999999999999	broad non-HK
Q9NW68	BSDC1_HUMAN	BSD domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BSDC1 PE=1 SV=1	430	HK	HRT Atlas	ENSG00000160058	HK	36	28.900000000000002	26.6	HK
Q96BR9	ZBT8A_HUMAN	Zinc finger and BTB domain-containing protein 8A OS=Homo sapiens OX=9606 GN=ZBTB8A PE=1 SV=3	441	non-HK		ENSG00000160062	non-HK	35	2.174285714285714	2.2	intermediate non-HK
Q5T9A4	ATD3B_HUMAN	ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1	648	non-HK		ENSG00000160072	non-HK	35	6.777142857142857	6.2	intermediate non-HK
Q9NP77	SSU72_HUMAN	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Homo sapiens OX=9606 GN=SSU72 PE=1 SV=1	194	HK	HRT Atlas	ENSG00000160075	HK	36	97.13888888888889	93.65	HK
Q8N2K1	UB2J2_HUMAN	Ubiquitin-conjugating enzyme E2 J2 OS=Homo sapiens OX=9606 GN=UBE2J2 PE=1 SV=3	259	non-HK		ENSG00000160087	non-HK	36	33.02777777777778	29.35	broad non-HK
Q5T0B9	ZN362_HUMAN	Zinc finger protein 362 OS=Homo sapiens OX=9606 GN=ZNF362 PE=1 SV=1	420	non-HK		ENSG00000160094	non-HK	36	15.261111111111111	15.3	broad non-HK
Q8NAU1	FNDC5_HUMAN	Fibronectin type III domain-containing protein 5 OS=Homo sapiens OX=9606 GN=FNDC5 PE=1 SV=4	260	non-HK		ENSG00000160097	non-HK	28	10.889285714285714	5.7	intermediate non-HK
Q8IZJ3	CPMD8_HUMAN	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens OX=9606 GN=CPAMD8 PE=1 SV=2	1885	non-HK		ENSG00000160111	non-HK	22	4.009090909090909	2.25	intermediate non-HK
P10588	NR2F6_HUMAN	Nuclear receptor subfamily 2 group F member 6 OS=Homo sapiens OX=9606 GN=NR2F6 PE=1 SV=2	404	HK	HRT Atlas	ENSG00000160113	HK	36	23.583333333333332	19.5	HK
Q8NAG6	ANKL1_HUMAN	Structure-specific endonuclease ANKLE1 OS=Homo sapiens OX=9606 GN=ANKLE1 PE=1 SV=2	615	non-HK		ENSG00000160117	non-HK	5	2.2	2.1	restricted non-HK
Q4VC31	MIX23_HUMAN	Protein MIX23 OS=Homo sapiens OX=9606 GN=MIX23 PE=1 SV=1	144	non-HK		ENSG00000160124	non-HK	36	14.33888888888889	11.9	broad non-HK
Q3ZAQ7	VMA21_HUMAN	Vacuolar ATPase assembly integral membrane protein VMA21 OS=Homo sapiens OX=9606 GN=VMA21 PE=1 SV=1	101	HK	HRT Atlas	ENSG00000160131	HK	36	9.330555555555556	8.0	HK
O60229	KALRN_HUMAN	Kalirin OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=3	2986	non-HK		ENSG00000160145	non-HK	28	3.542857142857143	2.75	intermediate non-HK
Q8IUL8	CILP2_HUMAN	Cartilage intermediate layer protein 2 OS=Homo sapiens OX=9606 GN=CILP2 PE=1 SV=2	1156	non-HK		ENSG00000160161	non-HK	2	3.5	3.5	restricted non-HK
P45844	ABCG1_HUMAN	ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3	678	non-HK		ENSG00000160179	non-HK	36	10.636111111111111	9.0	broad non-HK
Q07654	TFF3_HUMAN	Trefoil factor 3 OS=Homo sapiens OX=9606 GN=TFF3 PE=1 SV=3	80	non-HK		ENSG00000160180	non-HK	24	82.90416666666667	7.2	intermediate non-HK
Q03403	TFF2_HUMAN	Trefoil factor 2 OS=Homo sapiens OX=9606 GN=TFF2 PE=1 SV=2	129	non-HK		ENSG00000160181	non-HK	6	418.1666666666667	3.2	restricted non-HK
P04155	TFF1_HUMAN	Trefoil factor 1 OS=Homo sapiens OX=9606 GN=TFF1 PE=1 SV=1	84	non-HK		ENSG00000160182	non-HK	12	253.17499999999998	8.149999999999999	intermediate non-HK
P57727	TMPS3_HUMAN	Transmembrane protease serine 3 OS=Homo sapiens OX=9606 GN=TMPRSS3 PE=1 SV=2	454	non-HK		ENSG00000160183	non-HK	17	2.4176470588235297	2.5	intermediate non-HK
P57075	UBS3A_HUMAN	Ubiquitin-associated and SH3 domain-containing protein A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1	661	non-HK		ENSG00000160185	non-HK	3	2.433333333333333	2.2	restricted non-HK
Q8WYR4	RSPH1_HUMAN	Radial spoke head 1 homolog OS=Homo sapiens OX=9606 GN=RSPH1 PE=1 SV=1	309	non-HK		ENSG00000160188	non-HK	26	11.961538461538462	6.449999999999999	intermediate non-HK
P57057	G6PT2_HUMAN	Glucose-6-phosphate exchanger SLC37A1 OS=Homo sapiens OX=9606 GN=SLC37A1 PE=1 SV=2	533	non-HK		ENSG00000160190	non-HK	36	8.505555555555555	6.3	broad non-HK
O76083	PDE9A_HUMAN	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A OS=Homo sapiens OX=9606 GN=PDE9A PE=1 SV=1	593	non-HK		ENSG00000160191	non-HK	36	13.158333333333333	10.0	broad non-HK
P57081	WDR4_HUMAN	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 OS=Homo sapiens OX=9606 GN=WDR4 PE=1 SV=2	412	non-HK		ENSG00000160193	non-HK	36	3.827777777777778	3.7	broad non-HK
P56181	NDUV3_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV3 PE=1 SV=2	108	HK	HRT Atlas	ENSG00000160194	HK	36	7.905555555555556	6.45	HK
P55347	PKNX1_HUMAN	Homeobox protein PKNOX1 OS=Homo sapiens OX=9606 GN=PKNOX1 PE=1 SV=3	436	non-HK		ENSG00000160199	non-HK	36	5.052777777777778	4.3	broad non-HK
P35520	CBS_HUMAN	Cystathionine beta-synthase OS=Homo sapiens OX=9606 GN=CBS PE=1 SV=2	551	non-HK		ENSG00000160200	non-HK	36	19.12222222222222	9.7	broad non-HK
Q01081	U2AF1_HUMAN	Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3	240	HK	HRT Atlas	ENSG00000160201	HK	36	35.31666666666667	34.150000000000006	HK
P02489	CRYAA_HUMAN	Alpha-crystallin A chain OS=Homo sapiens OX=9606 GN=CRYAA PE=1 SV=2	173	non-HK		ENSG00000160202	non-HK	3	70.63333333333333	95.5	restricted non-HK
O75031	HSF2B_HUMAN	Heat shock factor 2-binding protein OS=Homo sapiens OX=9606 GN=HSF2BP PE=1 SV=1	334	non-HK		ENSG00000160207	non-HK	3	8.4	1.2	restricted non-HK
Q14684	RRP1B_HUMAN	Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3	758	non-HK		ENSG00000160208	non-HK	36	6.594444444444445	6.1	broad non-HK
O00764	PDXK_HUMAN	Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	312	non-HK		ENSG00000160209	non-HK	36	24.625	18.85	broad non-HK
