HGNC symbol	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
FAM210B	ENSG00000124098	56358974	56368663	20
FAM32A	ENSG00000105058	16185380	16192048	19
FAM3A	ENSG00000071889	154506159	154516882	X
FAM50A	ENSG00000071859	154444103	154450654	X
FAM50B	ENSG00000145945	3849373	3851320	6
FAM8A1	ENSG00000137414	17600302	17611719	6
FAM98A	ENSG00000119812	33532744	33599347	2
FARS2	ENSG00000145982	5261044	5829192	6
FARSA	ENSG00000179115	12922276	12934037	19
FARSB	ENSG00000116120	222566899	222656313	2
FASTK	ENSG00000164896	151076591	151080866	7
FASTKD2	ENSG00000118246	206765357	206796189	2
FASTKD5	ENSG00000215251	3146519	3159865	20
FBRSL1	ENSG00000112787	132489551	132585188	12
FBXL15	ENSG00000107872	102418520	102423142	10
FBXL17	ENSG00000145743	107859035	108382098	5
FBXL3	ENSG00000005812	76992598	77027195	13
FBXL4	ENSG00000112234	98868535	98948006	6
FBXL5	ENSG00000118564	15604381	15681679	4
FBXL6	ENSG00000285442	86034	89979	HG2419_PATCH
FBXL6	ENSG00000182325	144355427	144359376	8
FBXO11	ENSG00000138081	47789316	47906507	2
FBXO22	ENSG00000167196	75903876	75942511	15
FBXO28	ENSG00000143756	224114111	224162047	1
FBXO3	ENSG00000110429	33740939	33774543	11
FBXO38	ENSG00000145868	148383826	148442850	5
FBXO42	ENSG00000291375	50977	156623	HG1343_HG173_HG459_PATCH
FBXO42	ENSG00000037637	16246840	16352487	1
FBXO45	ENSG00000174013	196568611	196589059	3
FBXO6	ENSG00000116663	11664189	11674354	1
FBXO7	ENSG00000100225	32474676	32498831	22
FBXW11	ENSG00000072803	171861548	172006873	5
FBXW2	ENSG00000119402	120751978	120793438	9
FBXW4	ENSG00000107829	101610663	101695295	10
FBXW5	ENSG00000159069	136940435	136944762	9
FBXW7	ENSG00000109670	152320544	152536107	4
FCF1	ENSG00000119616	74713144	74738620	14
FDFT1	ENSG00000284967	1508591	1552526	HG76_PATCH
FDFT1	ENSG00000079459	11795570	11839500	8
FDPS	ENSG00000160752	155304786	155320666	1
FDX1	ENSG00000137714	110429379	110464884	11
FECH	ENSG00000066926	57544377	57586761	18
FEM1C	ENSG00000145780	115520908	115544775	5
FEN1	ENSG00000168496	61792725	61797238	11
FEZ2	ENSG00000171055	36531805	36646087	2
FGFR1OP2	ENSG00000111790	26938401	26966650	12
FH	ENSG00000091483	241497511	241519799	1
FIBP	ENSG00000172500	65883740	65888531	11
FICD	ENSG00000198855	108513710	108525837	12
FIP1L1	ENSG00000145216	53377562	53464382	4
FIS1	ENSG00000214253	101239458	101252316	7
FIZ1	ENSG00000179943	55591371	55606194	19
FKBP3	ENSG00000100442	45115599	45135319	14
FKBP8	ENSG00000105701	18531751	18544264	19
FKBPL	ENSG00000224200	3370071	3371655	HSCHR6_MHC_DBB_CTG1
FKBPL	ENSG00000230907	3567038	3568622	HSCHR6_MHC_COX_CTG1
FKBPL	ENSG00000223666	3470727	3472311	HSCHR6_MHC_MCF_CTG1
FKBPL	ENSG00000204315	32128697	32131070	6
FKRP	ENSG00000181027	46746046	46776988	19
FLAD1	ENSG00000160688	154983338	154993111	1
FLCN	ENSG00000154803	17212206	17237203	17
FLOT1	ENSG00000223654	2057212	2060006	HSCHR6_MHC_APD_CTG1
FLOT1	ENSG00000232280	2207446	2222473	HSCHR6_MHC_COX_CTG1
FLOT1	ENSG00000206379	1983559	1998584	HSCHR6_MHC_DBB_CTG1
FLOT1	ENSG00000230143	2028495	2043529	HSCHR6_MHC_SSTO_CTG1
FLOT1	ENSG00000224740	2071784	2085614	HSCHR6_MHC_MCF_CTG1
FLOT1	ENSG00000236271	2037960	2052984	HSCHR6_MHC_MANN_CTG1
FLOT1	ENSG00000206480	1982822	1997843	HSCHR6_MHC_QBL_CTG1
FLOT1	ENSG00000137312	30727709	30743075	6
FLOT2	ENSG00000132589	28879335	28897739	17
FNDC3A	ENSG00000102531	48975912	49209779	13
FNTA	ENSG00000168522	43034194	43085788	8
FNTB	ENSG00000257365	64986837	65062655	14
FOXK2	ENSG00000141568	82519689	82644662	17
FOXP4	ENSG00000137166	41546363	41602384	6
FOXRED1	ENSG00000110074	126269024	126278132	11
FPGS	ENSG00000136877	127794597	127814494	9
FPGT	ENSG00000254685	74198238	74234086	1
FRA10AC1	ENSG00000148690	93667883	93703294	10
FTO	ENSG00000140718	53701692	54158512	16
FTSJ1	ENSG00000068438	48476021	48486364	X
FTSJ3	ENSG00000108592	63819433	63830012	17
FUBP1	ENSG00000162613	77944055	77979527	1
FUNDC2	ENSG00000165775	155025980	155060304	X
FXN	ENSG00000165060	69035750	69079076	9
FYTTD1	ENSG00000122068	197737179	197787596	3
FZR1	ENSG00000105325	3506277	3538334	19
G3BP1	ENSG00000145907	151770951	151812911	5
GAA	ENSG00000291507	126262	144587	HG2118_PATCH
GAA	ENSG00000171298	80101533	80119881	17
GABARAP	ENSG00000170296	7240008	7242449	17
GABARAPL2	ENSG00000034713	75566375	75577881	16
GABPB1	ENSG00000104064	50275389	50355440	15
GADD45GIP1	ENSG00000179271	12953119	12957223	19
GALK2	ENSG00000156958	49155656	49367869	15
GALNS	ENSG00000141012	88813733	88856970	16
GALNT1	ENSG00000141429	35580892	35713370	18
GALNT2	ENSG00000143641	230057990	230282128	1
GALT	ENSG00000213930	34637367	34651754	9
GANAB	ENSG00000089597	62624824	62646726	11
GAPVD1	ENSG00000165219	125261780	125367207	9
GART	ENSG00000262473	102653	115588	HSCHR21_4_CTG1_1
GART	ENSG00000159131	33503371	33543524	21
GATAD2A	ENSG00000167491	19385638	19508932	19
GATAD2B	ENSG00000261992	121426	145049	HSCHR1_1_CTG31
GATAD2B	ENSG00000143614	153789030	153923360	1
GATC	ENSG00000257218	120446444	120463749	12
GBA2	ENSG00000070610	35736864	35749986	9
GBF1	ENSG00000107862	102245371	102382899	10
GCC1	ENSG00000179562	127580628	127593611	7
GCDH	ENSG00000105607	12891128	12915126	19
GCLC	ENSG00000001084	53497341	53616970	6
GCLM	ENSG00000023909	93885199	93909513	1
GDE1	ENSG00000006007	19501693	19522123	16
GDI2	ENSG00000057608	5765221	5842132	10
GDPGP1	ENSG00000183208	90233471	90245811	15
GEMIN7	ENSG00000142252	45075575	45091518	19
GEMIN8	ENSG00000046647	13998099	14029928	X
GET4	ENSG00000239857	876486	896436	7
GFER	ENSG00000291944	50341	53897	HG401_PATCH
GFER	ENSG00000127554	1984193	1987749	16
GFM1	ENSG00000168827	158644516	158695836	3
GFOD2	ENSG00000141098	67674531	67719339	16
GGCT	ENSG00000006625	30496620	30504850	7
GGNBP2	ENSG00000275099	779792	825343	HSCHR17_7_CTG4
GGNBP2	ENSG00000278311	36544888	36589848	17
GGT7	ENSG00000131067	34844714	34872868	20
GHDC	ENSG00000167925	42188799	42194513	17
GHITM	ENSG00000165678	84139482	84154841	10
GID8	ENSG00000101193	62937060	62948589	20
GINM1	ENSG00000055211	149566206	149591748	6
GIPC1	ENSG00000123159	14477759	14496157	19
GLCE	ENSG00000138604	69160584	69272217	15
GLE1	ENSG00000119392	128504655	128543874	9
GLG1	ENSG00000090863	74447427	74607144	16
GLI4	ENSG00000250571	143263193	143276937	8
GLO1	ENSG00000124767	38675925	38703145	6
GLRX2	ENSG00000023572	193090866	193106114	1
GLRX3	ENSG00000108010	130136385	130184521	10
GLRX5	ENSG00000182512	95533503	95544724	14
GLT8D1	ENSG00000016864	52694153	52706368	3
GLTP	ENSG00000139433	109850943	109880541	12
GLYR1	ENSG00000140632	4803202	4847343	16
GMPPA	ENSG00000144591	219498618	219513898	2
GMPR2	ENSG00000284752	533400	540220	HG1_PATCH
GMPR2	ENSG00000100938	24232211	24239246	14
GNB1	ENSG00000078369	1785285	1892292	1
GNB2	ENSG00000172354	100673567	100679174	7
GNE	ENSG00000159921	36214441	36277042	9
GNL2	ENSG00000134697	37566815	37595955	1
GNL3	ENSG00000163938	52681156	52696160	3
GNPAT	ENSG00000116906	231241196	231277973	1
GNPDA1	ENSG00000113552	141991749	142013057	5
GNPNAT1	ENSG00000100522	52770976	52791668	14
GNPTG	ENSG00000090581	1351931	1365737	16
GNS	ENSG00000135677	64713442	64759446	12
GOLGA1	ENSG00000136935	124878275	124948492	9
GOLGA2	ENSG00000167110	128255829	128276026	9
GOLGA3	ENSG00000090615	132768902	132829143	12
GOLGA5	ENSG00000066455	92794230	92839963	14
GOLGA7	ENSG00000147533	41488200	41511095	8
GOLGB1	ENSG00000173230	121663199	121749966	3
GOLPH3	ENSG00000113384	32124712	32174319	5
GOLT1B	ENSG00000111711	21501781	21518408	12
GOPC	ENSG00000047932	117560269	117602542	6
GORASP1	ENSG00000114745	39095222	39108369	3
GORASP2	ENSG00000115806	170928464	170967135	2
GOSR1	ENSG00000108587	30477362	30527592	17
GOSR2	ENSG00000108433	46923075	46975524	17
GPAA1	ENSG00000197858	144082337	144093149	8
GPANK1	ENSG00000233210	2909000	2914055	HSCHR6_MHC_DBB_CTG1
GPANK1	ENSG00000228605	2960506	2965567	HSCHR6_MHC_SSTO_CTG1
GPANK1	ENSG00000236011	3138519	3143574	HSCHR6_MHC_COX_CTG1
GPANK1	ENSG00000223932	2966276	2971330	HSCHR6_MHC_MANN_CTG1
GPANK1	ENSG00000232312	3003101	3008155	HSCHR6_MHC_MCF_CTG1
GPANK1	ENSG00000206408	2917047	2922107	HSCHR6_MHC_QBL_CTG1
GPANK1	ENSG00000204438	31661228	31666283	6
GPATCH4	ENSG00000292251	152858	160055	HG2515_PATCH
GPATCH4	ENSG00000160818	156594301	156601496	1
GPBP1	ENSG00000062194	57173821	57265668	5
GPBP1L1	ENSG00000159592	45627284	45688408	1
GPHN	ENSG00000171723	66507407	67181803	14
GPI	ENSG00000282019	8674	30733	HSCHR19_2_CTG3_1
GPI	ENSG00000105220	34359480	34402413	19
GPKOW	ENSG00000292204	272358	282686	HSCHRX_3_CTG3
GPKOW	ENSG00000068394	49113396	49123746	X
GPN1	ENSG00000198522	27628247	27651511	2
GPN2	ENSG00000142751	26876132	26890283	1
GPN3	ENSG00000111231	110452486	110469268	12
GPR107	ENSG00000148358	130053426	130140169	9
GPR108	ENSG00000125734	6729914	6737606	19
GPS1	ENSG00000169727	82050691	82058057	17
GPS2	ENSG00000288325	69689	73929	HG2087_PATCH
GPS2	ENSG00000132522	7311324	7315564	17
GPX4	ENSG00000167468	1103982	1106791	19
GRAMD4	ENSG00000075240	46575644	46679790	22
GRHPR	ENSG00000137106	37422664	37437259	9
GRINA	ENSG00000178719	143990053	143993427	8
GRIPAP1	ENSG00000292219	132555	161100	HSCHRX_3_CTG3
GRIPAP1	ENSG00000068400	48973719	49002265	X
GRPEL1	ENSG00000109519	7058643	7068145	4
GRSF1	ENSG00000132463	70815783	70839903	4
GRWD1	ENSG00000105447	48445824	48457022	19
GSK3A	ENSG00000105723	42226225	42242625	19
GSK3B	ENSG00000082701	119821321	120094994	3
GSPT1	ENSG00000103342	11868128	11916082	16
GSPT2	ENSG00000189369	51743442	51746232	X
GSR	ENSG00000104687	30678064	30727975	8
GSS	ENSG00000100983	34928432	34956027	20
GSTK1	ENSG00000197448	143244093	143270873	7
GSTM4	ENSG00000168765	109656099	109665496	1
GSTO1	ENSG00000148834	104235356	104267461	10
GTF2A1	ENSG00000165417	81175452	81221377	14
GTF2B	ENSG00000137947	88852633	88891944	1
GTF2F1	ENSG00000125651	6379572	6393981	19
GTF2F2	ENSG00000188342	45120443	45284907	13
GTF2H1	ENSG00000288114	71121	115871	HG2111_PATCH
GTF2H1	ENSG00000110768	18322276	18367045	11
GTF2H4	ENSG00000226384	2164488	2170410	HSCHR6_MHC_DBB_CTG1
GTF2H4	ENSG00000236895	2387930	2393852	HSCHR6_MHC_COX_CTG1
GTF2H4	ENSG00000234370	2252331	2258253	HSCHR6_MHC_MCF_CTG1
GTF2H4	ENSG00000233149	2218420	2224342	HSCHR6_MHC_MANN_CTG1
GTF2H4	ENSG00000221974	2163350	2169272	HSCHR6_MHC_QBL_CTG1
GTF2H4	ENSG00000213780	30907522	30914119	6
GTF2H5	ENSG00000272047	158168338	158199344	6
GTF2I	ENSG00000263001	74650231	74760706	7
GTF3A	ENSG00000122034	27424619	27435823	13
GTF3C1	ENSG00000077235	27459555	27549960	16
GTF3C2	ENSG00000115207	27324198	27357187	2
GTF3C3	ENSG00000119041	196761062	196799725	2
GTF3C5	ENSG00000148308	133030675	133058503	9
GTF3C6	ENSG00000155115	110958477	110968586	6
GTPBP10	ENSG00000105793	90335223	90391453	7
GTPBP4	ENSG00000107937	988418	1019932	10
GTPBP8	ENSG00000163607	112990978	113015060	3
GUK1	ENSG00000143774	228139962	228148984	1
GZF1	ENSG00000125812	23362000	23373062	20
HADH	ENSG00000138796	107989714	108035241	4
HADHA	ENSG00000084754	26190635	26245044	2
HAGH	ENSG00000063854	1795620	1827157	16
HARS2	ENSG00000112855	140691430	140699308	5
HAT1	ENSG00000292096	353066	422730	HSCHR2_11_CTG7_2
HAT1	ENSG00000128708	171922429	171986153	2
HAUS3	ENSG00000214367	2227464	2242133	4
HAUS4	ENSG00000092036	22946228	22957161	14
HAUS7	ENSG00000213397	153447655	153495516	X
HAX1	ENSG00000143575	154269393	154275882	1
HBP1	ENSG00000283847	14483	48044	HG2266_PATCH
HBP1	ENSG00000105856	107168961	107202529	7
HBS1L	ENSG00000112339	134960378	135103056	6
HCCS	ENSG00000004961	11111299	11123086	X
HCFC1	ENSG00000172534	153946434	153972427	X
HDAC2	ENSG00000196591	113933028	114011308	6
HDAC3	ENSG00000171720	141620778	141636867	5
HDAC6	ENSG00000094631	48801377	48824986	X
HDAC8	ENSG00000147099	72329516	72573101	X
HDDC3	ENSG00000184508	90929968	90935196	15
HDGF	ENSG00000143321	156742109	156766925	1
HDHD3	ENSG00000119431	113373417	113377473	9
HDLBP	ENSG00000115677	241227264	241317061	2
HEATR5A	ENSG00000129493	31290636	31420607	14
HEBP1	ENSG00000013583	12974867	13000275	12
HECTD3	ENSG00000126107	45002540	45011369	1
HELZ	ENSG00000198265	67070444	67245989	17
HEMK1	ENSG00000114735	50567895	50596168	3
HERC4	ENSG00000148634	67921899	68075342	10
HERPUD1	ENSG00000051108	56930815	56944864	16
HERPUD2	ENSG00000122557	35632659	35697459	7
HEXA	ENSG00000213614	72340924	72376420	15
HEXIM1	ENSG00000186834	45148475	45152099	17
HGS	ENSG00000185359	81683326	81703138	17
HIBADH	ENSG00000106049	27525440	27662988	7
HIGD1A	ENSG00000181061	42782908	42804527	3
HIGD2A	ENSG00000146066	176388751	176389761	5
HINFP	ENSG00000172273	119121509	119136059	11
HINT1	ENSG00000169567	131155383	131224468	5
HINT2	ENSG00000137133	35812960	35815354	9
HIVEP1	ENSG00000095951	12008762	12164999	6
HMBS	ENSG00000256269	119084861	119093834	11
HMG20A	ENSG00000140382	77419830	77485955	15
HMG20B	ENSG00000064961	3572741	3579088	19
HMGB1	ENSG00000189403	30456704	30618872	13
HMGN3	ENSG00000118418	79200929	79234862	6
HMGXB3	ENSG00000113716	150000046	150053142	5
HMGXB4	ENSG00000100281	35257452	35295807	22
HMOX2	ENSG00000277424	177013	212670	HSCHR16_3_CTG1
HMOX2	ENSG00000103415	4474246	4510352	16
HNRNPA0	ENSG00000177733	137745651	137754363	5
HNRNPA2B1	ENSG00000122566	26171151	26201529	7
HNRNPAB	ENSG00000197451	178204479	178211183	5
HNRNPC	ENSG00000092199	21207375	21269792	14
HNRNPD	ENSG00000138668	82351523	82374543	4
HNRNPF	ENSG00000169813	43385617	43409523	10
HNRNPH1	ENSG00000284254	380457	401011	HG30_PATCH
HNRNPH1	ENSG00000169045	179614170	179634784	5
HNRNPH2	ENSG00000126945	101408114	101414137	X
HNRNPK	ENSG00000165119	83966766	83981586	9
HNRNPL	ENSG00000282947	246060	262019	HG26_PATCH
HNRNPL	ENSG00000104824	38836370	38852347	19
HNRNPM	ENSG00000099783	8444767	8489114	19
HNRNPR	ENSG00000282958	73750	114315	HSCHR1_4_CTG3
HNRNPR	ENSG00000125944	23303771	23344358	1
HNRNPU	ENSG00000153187	244840638	244864560	1
HNRNPUL1	ENSG00000105323	41262496	41307787	19
HNRNPUL2	ENSG00000214753	62712630	62727561	11
HP1BP3	ENSG00000127483	20739095	20787323	1
HPS1	ENSG00000107521	98410939	98446966	10
HPS6	ENSG00000166189	102065349	102068036	10
HS1BP3	ENSG00000118960	20560448	20651152	2
HS2ST1	ENSG00000153936	86914635	87109982	1
HS6ST1	ENSG00000136720	128236716	128318868	2
HSBP1	ENSG00000230989	83719311	83819737	16
HSCB	ENSG00000100209	28742039	28757522	22
HSD17B10	ENSG00000072506	53431258	53434371	X
HSD17B12	ENSG00000149084	43680509	43857741	11
HSD17B4	ENSG00000133835	119452465	119637199	5
HSPA14	ENSG00000187522	14838306	14871741	10
HSPA4	ENSG00000170606	133051946	133106449	5
HSPA5	ENSG00000044574	125234853	125241382	9
HSPA8	ENSG00000109971	123057485	123063230	11
HSPA9	ENSG00000113013	138553756	138575675	5
HSPBP1	ENSG00000133265	55262219	55280930	19
HSPE1-MOB4	ENSG00000270757	197500413	197550726	2
HTATIP2	ENSG00000109854	20355910	20383782	11
HTRA2	ENSG00000115317	74529596	74533350	2
HTT	ENSG00000197386	3041363	3243957	4
HUS1	ENSG00000136273	47961882	47979682	7
HUWE1	ENSG00000086758	53532096	53686752	X
HYOU1	ENSG00000280682	65787	78826	HG2217_PATCH
HYOU1	ENSG00000149428	119044185	119057252	11
HYPK	ENSG00000242028	43796142	43804574	15
IAH1	ENSG00000134330	9473658	9496543	2
IARS2	ENSG00000067704	220094107	220148041	1
IBA57	ENSG00000181873	228165777	228182257	1
IBTK	ENSG00000283068	29598	107366	HG2072_PATCH
IBTK	ENSG00000005700	82169984	82247775	6
ICMT	ENSG00000116237	6221193	6235972	1
IDE	ENSG00000119912	92451684	92574096	10
IDH3A	ENSG00000166411	78131498	78171945	15
IDH3B	ENSG00000101365	2658393	2664219	20
IDH3G	ENSG00000067829	153785735	153794535	X
IDI1	ENSG00000067064	1039152	1049119	10
IER3IP1	ENSG00000134049	47152834	47176381	18
IFNAR1	ENSG00000142166	33324387	33359864	21
IFNGR1	ENSG00000027697	137197483	137219449	6
IFRD1	ENSG00000006652	112422887	112481017	7
IFT27	ENSG00000100360	36758202	36776309	22
IKZF5	ENSG00000095574	122990806	123008826	10
IL13RA1	ENSG00000131724	118727133	118794535	X
IL6ST	ENSG00000134352	55935095	55995022	5
ILF2	ENSG00000143621	153661788	153671028	1
ILKAP	ENSG00000132323	238170400	238203756	2
ILVBL	ENSG00000105135	15114976	15125792	19
IMMT	ENSG00000132305	86142798	86195626	2
IMP3	ENSG00000177971	75639085	75648706	15
IMP4	ENSG00000136718	130342403	130347967	2
INF2	ENSG00000203485	104681146	104722535	14
ING1	ENSG00000153487	110712736	110723339	13
INO80B	ENSG00000115274	74455087	74457944	2
INO80E	ENSG00000169592	29995715	30005793	16
INPP5A	ENSG00000068383	132537772	132783480	10
INPP5K	ENSG00000132376	1494575	1516742	17
INSIG2	ENSG00000125629	118088137	118112313	2
INTS1	ENSG00000164880	1470276	1504418	7
INTS10	ENSG00000104613	19817339	19853282	8
INTS12	ENSG00000138785	105682016	105895986	4
INTS3	ENSG00000262826	44768	91509	HSCHR1_1_CTG31
INTS3	ENSG00000143624	153728050	153774808	1
INTS4	ENSG00000149262	77874418	77994850	11
INVS	ENSG00000119509	100098699	100306072	9
IP6K1	ENSG00000176095	49724294	49786546	3
IP6K2	ENSG00000068745	48688003	48740353	3
IPO7	ENSG00000205339	9384626	9448127	11
IPO8	ENSG00000133704	30628981	30695883	12
IPO9	ENSG00000198700	201829104	201884291	1
IRAK1	ENSG00000184216	154010504	154019927	X
IREB2	ENSG00000136381	78437431	78501453	15
IRF2BP1	ENSG00000170604	45883608	45886141	19
IRF2BP2	ENSG00000168264	234602300	234610178	1
IRF2BPL	ENSG00000119669	77024543	77028708	14
IRGQ	ENSG00000167378	43584367	43596145	19
ISCU	ENSG00000136003	108562582	108569380	12
ISOC2	ENSG00000063241	55452975	55462343	19
IST1	ENSG00000182149	71845996	71931199	16
ISY1	ENSG00000240682	129127415	129161349	3
ISY1-RAB43	ENSG00000261796	129087575	129161036	3
ITCH	ENSG00000078747	34363235	34511773	20
ITFG1	ENSG00000129636	47154387	47464149	16
ITGB1	ENSG00000150093	32887273	33005792	10
ITGB1BP1	ENSG00000119185	9403475	9423891	2
ITM2B	ENSG00000136156	48232612	48270357	13
ITPA	ENSG00000125877	3208868	3223870	20
ITPK1	ENSG00000274958	51476	230882	HSCHR14_7_CTG1
ITPK1	ENSG00000100605	92936914	93116458	14
ITPKC	ENSG00000086544	40717112	40740860	19
ITPRIPL2	ENSG00000205730	19113932	19121629	16
IVNS1ABP	ENSG00000116679	185292931	185317780	1
IWS1	ENSG00000163166	127436207	127526886	2
JAGN1	ENSG00000171135	9890574	9894349	3
JAK1	ENSG00000162434	64833223	65067754	1
JKAMP	ENSG00000050130	59484443	59505410	14
JMJD4	ENSG00000081692	227730412	227735411	1
JMJD6	ENSG00000070495	76712832	76726784	17
JMJD7	ENSG00000243789	41828092	41837585	15
JMJD8	ENSG00000161999	681666	684528	16
JOSD2	ENSG00000161677	50505995	50514675	19
JTB	ENSG00000143543	153974269	153977674	1
JUND	ENSG00000130522	18279694	18281622	19
KANSL2	ENSG00000139620	48653211	48682247	12
KANSL3	ENSG00000114982	96593170	96642787	2
KAT2B	ENSG00000114166	20040400	20154404	3
KAT5	ENSG00000172977	65711996	65719604	11
KAT8	ENSG00000103510	31114489	31131393	16
KBTBD2	ENSG00000170852	32868166	32894131	7
KBTBD4	ENSG00000284900	23	6802	HG2114_PATCH
KBTBD4	ENSG00000123444	47572197	47578976	11
KBTBD7	ENSG00000120696	41189834	41194569	13
KCMF1	ENSG00000176407	84970644	85059472	2
KCTD20	ENSG00000112078	36442767	36491143	6
KCTD21	ENSG00000188997	78171245	78188644	11
KCTD6	ENSG00000168301	58491078	58502360	3
KDM2A	ENSG00000173120	67119263	67258082	11
KDM4A	ENSG00000066135	43649256	43705518	1
KDM5C	ENSG00000126012	53176277	53225422	X
KDSR	ENSG00000119537	63327566	63367615	18
KHDRBS1	ENSG00000121774	32013687	32060850	1
KHNYN	ENSG00000100441	24423052	24441843	14
KHSRP	ENSG00000088247	6413102	6424811	19
KIAA0232	ENSG00000170871	6781375	6884170	4
KIAA0319L	ENSG00000142687	35393883	35557950	1
KIAA1143	ENSG00000281665	263011	286969	HG2066_PATCH
KIAA1143	ENSG00000163807	44737661	44762033	3
KIAA1191	ENSG00000122203	176339650	176366459	5
KIAA1586	ENSG00000168116	57046532	57059041	6
KIAA2013	ENSG00000116685	11919591	11926428	1
KLC4	ENSG00000137171	43040777	43075099	6
KLF3	ENSG00000109787	38664032	38701517	4
KLF9	ENSG00000119138	70384604	70414657	9
KLHDC2	ENSG00000165516	49767677	49786385	14
KLHDC3	ENSG00000124702	43014103	43021298	6
KLHL20	ENSG00000076321	173714919	173786820	1
KLHL25	ENSG00000183655	85759326	85794948	15
KLHL36	ENSG00000135686	84643425	84667837	16
KLHL5	ENSG00000109790	39044721	39126857	4
KLHL8	ENSG00000145332	87159981	87240729	4
KPNA1	ENSG00000114030	122421902	122514947	3
KPNB1	ENSG00000108424	47649476	47685505	17
KRCC1	ENSG00000172086	88027203	88064252	2
KRR1	ENSG00000111615	75490863	75511636	12
KTI12	ENSG00000198841	52032103	52033810	1
KTN1	ENSG00000126777	55559072	55701526	14
KXD1	ENSG00000105700	18557683	18569387	19
L3MBTL2	ENSG00000100395	41205282	41231273	22
LACTB	ENSG00000103642	63121833	63142061	15
LAGE3	ENSG00000196976	154477775	154479281	X
LAMP1	ENSG00000185896	113297088	113323674	13
LAMP2	ENSG00000005893	120426148	120469365	X
LAMTOR1	ENSG00000149357	72085895	72103297	11
LAMTOR2	ENSG00000116586	156054738	156058510	1
LAMTOR3	ENSG00000109270	99878336	99894428	4
LAMTOR4	ENSG00000188186	100148912	100155944	7
LAMTOR5	ENSG00000134248	110401249	110407942	1
LAP3	ENSG00000002549	17577198	17607975	4
LAPTM4A	ENSG00000068697	20032649	20051693	2
LARP1	ENSG00000155506	154682986	154817605	5
LARP4	ENSG00000161813	50392383	50480007	12
LARP7	ENSG00000174720	112636990	112657858	4
LARS2	ENSG00000011376	45388527	45554726	3
LCOR	ENSG00000196233	96831803	96995956	10
LDHA	ENSG00000288299	146012	159877	HG2111_PATCH
LDHA	ENSG00000134333	18394347	18408425	11
LEMD2	ENSG00000161904	33771202	33789148	6
LENG1	ENSG00000276774	130494	134559	HSCHR19LRC_COX2_CTG3_1
LENG1	ENSG00000277457	130494	134559	HSCHR19LRC_LRC_S_CTG3_1
LENG1	ENSG00000277808	130471	134593	HSCHR19LRC_COX1_CTG3_1
LENG1	ENSG00000276628	130494	134559	HSCHR19LRC_LRC_I_CTG3_1
LENG1	ENSG00000278426	130494	134559	HSCHR19LRC_LRC_T_CTG3_1
LENG1	ENSG00000275935	130494	134559	HSCHR19LRC_LRC_J_CTG3_1
LENG1	ENSG00000276959	130490	134559	HSCHR19_4_CTG3_1
LENG1	ENSG00000278516	130474	134594	HSCHR19LRC_PGF1_CTG3_1
LENG1	ENSG00000105617	54155161	54159721	19
LENG1	ENSG00000278257	130494	134559	HSCHR19LRC_PGF2_CTG3_1
LEPROT	ENSG00000213625	65420587	65436007	1
LETM1	ENSG00000168924	1811479	1856232	4
LETMD1	ENSG00000050426	51047962	51060426	12
LGALSL	ENSG00000119862	64453969	64461381	2
LHPP	ENSG00000107902	124461792	124617888	10
LIAS	ENSG00000121897	39459004	39485109	4
LIG3	ENSG00000005156	34980462	35009743	17
LIG4	ENSG00000174405	108207439	108218368	13
LIN37	ENSG00000267796	35748361	35754519	19
LIN54	ENSG00000189308	82909973	83012983	4
LIN7C	ENSG00000148943	27494418	27506769	11
LIPT1	ENSG00000144182	99154955	99163179	2
LMAN1	ENSG00000074695	59327823	59359265	18
LMBRD1	ENSG00000168216	69672757	69867236	6
LMF2	ENSG00000100258	50502947	50507732	22
LMO4	ENSG00000143013	87328428	87348923	1
LNX2	ENSG00000139517	27545911	27621344	13
LONP1	ENSG00000196365	5691834	5720572	19
LONP2	ENSG00000102910	48244267	48363122	16
LPCAT3	ENSG00000111684	6976176	7018538	12
LPIN1	ENSG00000134324	11677544	11827409	2
LRFN3	ENSG00000126243	35935358	35946624	19
LRPAP1	ENSG00000163956	3503612	3532446	4
LRPPRC	ENSG00000138095	43886224	43996226	2
LRRC14	ENSG00000160959	144517965	144525178	8
LRRC24	ENSG00000254402	144522388	144527033	8
LRRC28	ENSG00000168904	99250937	99390729	15
LRRC40	ENSG00000066557	70143411	70205639	1
LRRC41	ENSG00000132128	46261196	46303616	1
LRRC42	ENSG00000116212	53946045	53968168	1
LRRC47	ENSG00000130764	3778559	3796511	1
LRRC57	ENSG00000180979	42537820	42548802	15
LRRC59	ENSG00000108829	50375059	50398227	17
LRRC8A	ENSG00000136802	128882133	128918042	9
LRRFIP2	ENSG00000093167	37052626	37183689	3
LRSAM1	ENSG00000148356	127451469	127503503	9
LSG1	ENSG00000041802	194640791	194672463	3
LSM1	ENSG00000175324	38163335	38176730	8
LSM10	ENSG00000181817	36391238	36397945	1
LSM14A	ENSG00000262860	20188	77063	HSCHR19_1_CTG3_1
LSM14A	ENSG00000257103	34172426	34229302	19
LSM14B	ENSG00000149657	62122444	62136728	20
LSM2	ENSG00000224979	3130007	3139596	HSCHR6_MHC_APD_CTG1
LSM2	ENSG00000236826	3274635	3284226	HSCHR6_MHC_COX_CTG1
LSM2	ENSG00000231502	3045170	3054759	HSCHR6_MHC_DBB_CTG1
