From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Reviewed
ENSG00000146576	Q96N11	INT15_HUMAN	Integrator complex subunit 15	INTS15 C7orf26	Homo sapiens (Human)	449	reviewed
ENSG00000146676	Q96QR8	PURB_HUMAN	Transcriptional regulator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312	reviewed
ENSG00000146701	P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	338	reviewed
ENSG00000146731	P40227	TCPZ_HUMAN	T-complex protein 1 subunit zeta (TCP-1-zeta) (EC 3.6.1.-) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (Chaperonin containing T-complex polypeptide 1 subunit 6A) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	Homo sapiens (Human)	531	reviewed
ENSG00000146830	O75420	GGYF1_HUMAN	GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1)	GIGYF1 CDS2 PERQ1 PP3360	Homo sapiens (Human)	1035	reviewed
ENSG00000146834	Q7L2J0	MEPCE_HUMAN	7SK snRNA methylphosphate capping enzyme (MePCE) (EC 2.1.1.-) (Bicoid-interacting protein 3 homolog) (Bin3 homolog)	MEPCE BCDIN3	Homo sapiens (Human)	689	reviewed
ENSG00000147065	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	577	reviewed
ENSG00000147123	Q9NX14	NDUBB_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	Homo sapiens (Human)	153	reviewed
ENSG00000147140	Q15233	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (p54(nrb)) (p54nrb) (55 kDa nuclear protein) (NMT55) (DNA-binding p52/p100 complex, 52 kDa subunit)	NONO NRB54	Homo sapiens (Human)	471	reviewed
ENSG00000147162	O15294	OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	Homo sapiens (Human)	1046	reviewed
ENSG00000147164	Q9UMY4	SNX12_HUMAN	Sorting nexin-12	SNX12	Homo sapiens (Human)	162	reviewed
ENSG00000147224	P60891	PRPS1_HUMAN	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	Homo sapiens (Human)	318	reviewed
ENSG00000147274	P38159	RBMX_HUMAN	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391	reviewed
ENSG00000147403	P27635	RL10_HUMAN	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Laminin receptor homolog) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214	reviewed
ENSG00000147416	P21281	VATB2_HUMAN	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)	ATP6V1B2 ATP6B2 VPP3	Homo sapiens (Human)	511	reviewed
ENSG00000147471	O94903	PLPHP_HUMAN	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein) (Proline synthase co-transcribed bacterial homolog protein) (Pyridoxal phosphate-binding protein)	PLPBP PROSC	Homo sapiens (Human)	275	reviewed
ENSG00000147586	Q9Y2Q9	RT28_HUMAN	Small ribosomal subunit protein bS1m (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS28 MRPS35 HSPC007	Homo sapiens (Human)	187	reviewed
ENSG00000147604	P18124	RL7_HUMAN	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	RPL7	Homo sapiens (Human)	248	reviewed
ENSG00000147649	Q86UE4	LYRIC_HUMAN	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	582	reviewed
ENSG00000147654	O00559	RCAS1_HUMAN	Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein)	EBAG9 RCAS1	Homo sapiens (Human)	213	reviewed
ENSG00000147669	P53803	RPAB4_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)	POLR2K	Homo sapiens (Human)	58	reviewed
ENSG00000147677	O15372	EIF3H_HUMAN	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	EIF3H EIF3S3	Homo sapiens (Human)	352	reviewed
ENSG00000147684	Q9Y6M9	NDUB9_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit)	NDUFB9 LYRM3 UQOR22	Homo sapiens (Human)	179	reviewed
ENSG00000147853	Q9UIJ7	KAD3_HUMAN	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)	AK3 AK3L1 AK6 AKL3L	Homo sapiens (Human)	227	reviewed
ENSG00000148110	Q5SR56	S71A2_HUMAN	Solute carrier family 71 member 2 (Hippocampus abundant transcript-like protein 1) (Major facilitator superfamily domain-containing 14B)	SLC71A2 HIATL1 MFSD14B	Homo sapiens (Human)	506	reviewed
ENSG00000148229	Q9NRF9	DPOE3_HUMAN	DNA polymerase epsilon subunit 3 (Arsenic-transactivated protein) (AsTP) (Chromatin accessibility complex 17 kDa protein) (CHRAC-17) (HuCHRAC17) (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17)	POLE3 CHRAC17	Homo sapiens (Human)	147	reviewed
ENSG00000148248	O15260	SURF4_HUMAN	Surfeit locus protein 4	SURF4 SURF-4	Homo sapiens (Human)	269	reviewed
ENSG00000148290	Q15526	SURF1_HUMAN	Surfeit locus protein 1	SURF1 SURF-1	Homo sapiens (Human)	300	reviewed
ENSG00000148291	Q15527	SURF2_HUMAN	Surfeit locus protein 2 (Surf-2)	SURF2	Homo sapiens (Human)	256	reviewed
ENSG00000148300	Q9GZR2	REXO4_HUMAN	RNA exonuclease 4 (EC 3.1.-.-) (Exonuclease XPMC2) (Prevents mitotic catastrophe 2 protein homolog) (hPMC2)	REXO4 PMC2 XPMC2H	Homo sapiens (Human)	422	reviewed
ENSG00000148303	P62424	RL7A_HUMAN	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266	reviewed
ENSG00000148334	Q9H7Z7	PGES2_HUMAN	Prostaglandin E synthase 2 (EC 5.3.99.3) (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) [Cleaved into: Prostaglandin E synthase 2 truncated form]	PTGES2 C9orf15 PGES2	Homo sapiens (Human)	377	reviewed
ENSG00000148335	Q9BV86	NTM1A_HUMAN	N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (N-terminal RCC1 methyltransferase) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]	NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003	Homo sapiens (Human)	223	reviewed
ENSG00000148730	Q13542	4EBP2_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2)	EIF4EBP2	Homo sapiens (Human)	120	reviewed
ENSG00000148834	P78417	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241	reviewed
ENSG00000149016	Q9H6E5	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52)	TUT1 RBM21	Homo sapiens (Human)	874	reviewed
ENSG00000149084	Q53GQ0	DHB12_HUMAN	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1)	HSD17B12 SDR12C1	Homo sapiens (Human)	312	reviewed
ENSG00000149100	Q7L2H7	EIF3M_HUMAN	Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)	EIF3M HFLB5 PCID1 GA17 PNAS-125	Homo sapiens (Human)	374	reviewed
ENSG00000149136	Q08945	SSRP1_HUMAN	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	Homo sapiens (Human)	709	reviewed
ENSG00000149182	Q8N6H7	ARFG2_HUMAN	ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289)	ARFGAP2 ZNF289 Nbla10535	Homo sapiens (Human)	521	reviewed
ENSG00000149187	Q92879	CELF1_HUMAN	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486	reviewed
ENSG00000149273	P23396	RS3_HUMAN	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243	reviewed
ENSG00000149313	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)	AASDHPPT CGI-80 HAH-P HSPC223 x0005	Homo sapiens (Human)	309	reviewed
ENSG00000149357	Q6IAA8	LTOR1_HUMAN	Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho)	LAMTOR1 C11orf59 PDRO PP7157	Homo sapiens (Human)	161	reviewed
ENSG00000149600	Q86VX2	COMD7_HUMAN	COMM domain-containing protein 7	COMMD7 C20orf92	Homo sapiens (Human)	200	reviewed
ENSG00000149657	Q9BX40	LS14B_HUMAN	Protein LSM14 homolog B (RNA-associated protein 55B) (hRAP55B)	LSM14B C20orf40 FAM61B RAP55B	Homo sapiens (Human)	385	reviewed
ENSG00000149658	Q9BYJ9	YTHD1_HUMAN	YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	YTHDF1 C20orf21	Homo sapiens (Human)	559	reviewed
ENSG00000149792	Q13405	RM49_HUMAN	Large ribosomal subunit protein mL49 (39S ribosomal protein L49, mitochondrial) (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)	MRPL49 C11orf4 NOF1 OK/SW-cl.67	Homo sapiens (Human)	166	reviewed
ENSG00000149806	P62861	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133	reviewed
ENSG00000149823	Q9UID3	VPS51_HUMAN	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	VPS51 ANG2 C11orf2 C11orf3 FFR PP5382	Homo sapiens (Human)	782	reviewed
ENSG00000149925	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364	reviewed
ENSG00000149930	Q9UL54	TAOK2_HUMAN	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431	Homo sapiens (Human)	1235	reviewed
ENSG00000149932	Q86XT9	TM219_HUMAN	Insulin-like growth factor-binding protein 3 receptor (IGFBP-3R) (Transmembrane protein 219)	TMEM219	Homo sapiens (Human)	240	reviewed
ENSG00000150459	O00422	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153	reviewed
ENSG00000150991	P0CG48	UBC_HUMAN	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685	reviewed
ENSG00000151327	Q8N128	F177A_HUMAN	Protein FAM177A1	FAM177A1 C14orf24	Homo sapiens (Human)	213	reviewed
ENSG00000151366	O95298	NDUC2_HUMAN	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	NDUFC2 HLC1	Homo sapiens (Human)	119	reviewed
ENSG00000151465	O75794	CD123_HUMAN	Translation initiation factor eIF2 assembly protein (Cell division cycle protein 123 homolog) (Protein D123) (HT-1080) (PZ32)	CDC123 C10orf7 D123	Homo sapiens (Human)	336	reviewed
ENSG00000151502	Q4G0F5	VP26B_HUMAN	Vacuolar protein sorting-associated protein 26B (Vesicle protein sorting 26B)	VPS26B	Homo sapiens (Human)	336	reviewed
ENSG00000151553	Q5W0V3	FHI2A_HUMAN	FHF complex subunit HOOK interacting protein 2A (FHIP2A)	FHIP2A FAM160B1 KIAA1600	Homo sapiens (Human)	765	reviewed
ENSG00000151748	Q9H4B6	SAV1_HUMAN	Protein salvador homolog 1 (45 kDa WW domain protein) (hWW45)	SAV1 WW45	Homo sapiens (Human)	383	reviewed
ENSG00000151893	Q86Y37	CACL1_HUMAN	CDK2-associated and cullin domain-containing protein 1 (Cdk-associated cullin 1)	CACUL1 C10orf46 CAC1	Homo sapiens (Human)	369	reviewed
ENSG00000152082	Q6NZ67	MZT2B_HUMAN	Mitotic-spindle organizing protein 2B (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2B)	MZT2B FAM128B MOZART2B	Homo sapiens (Human)	158	reviewed
ENSG00000152102	A1KXE4	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)	195	reviewed
ENSG00000152219	Q8N8R7	AL14E_HUMAN	ARL14 effector protein (ARF7 effector protein)	ARL14EP ARF7EP C11orf46	Homo sapiens (Human)	260	reviewed
ENSG00000152484	O75317	UBP12_HUMAN	Ubiquitin carboxyl-terminal hydrolase 12 (EC 3.4.19.12) (Deubiquitinating enzyme 12) (Ubiquitin specific peptidase 12) (Ubiquitin thioesterase 12) (Ubiquitin-hydrolyzing enzyme 1) (Ubiquitin-specific-processing protease 12)	USP12 UBH1 USP12L1	Homo sapiens (Human)	370	reviewed
ENSG00000152492	Q8IVM0	CCD50_HUMAN	Coiled-coil domain-containing protein 50 (Protein Ymer)	CCDC50 C3orf6	Homo sapiens (Human)	306	reviewed
ENSG00000152795	O14979	HNRDL_HUMAN	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	HNRNPDL HNRPDL JKTBP	Homo sapiens (Human)	420	reviewed
ENSG00000152944	Q13503	MED21_HUMAN	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNA polymerase II holoenzyme component SRB7) (RNAPII complex component SRB7) (hSrb7)	MED21 SRB7 SURB7	Homo sapiens (Human)	144	reviewed
ENSG00000153037	P09132	SRP19_HUMAN	Signal recognition particle 19 kDa protein (SRP19)	SRP19	Homo sapiens (Human)	144	reviewed
ENSG00000153147	O60264	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SMARCA5) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052	reviewed
ENSG00000153187	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825	reviewed
ENSG00000153201	P49792	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358	Homo sapiens (Human)	3224	reviewed
ENSG00000153485	Q8N6I4	LYSET_HUMAN	Lysosomal enzyme trafficking factor (GNPTAB cleavage and activity factor) (GCAF) (Transmembrane protein 251)	LYSET C14orf109 TMEM251	Homo sapiens (Human)	163	reviewed
ENSG00000153560	Q9NZI7	UBIP1_HUMAN	Upstream-binding protein 1 (Transcription factor LBP-1)	UBP1 LBP1	Homo sapiens (Human)	540	reviewed
ENSG00000153561	Q9H871	RMD5A_HUMAN	E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A)	RMND5A	Homo sapiens (Human)	391	reviewed
ENSG00000153574	P49247	RPIA_HUMAN	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	RPIA RPI	Homo sapiens (Human)	311	reviewed
ENSG00000153774	Q9UEE9	CFDP1_HUMAN	Heterochromatin-stabilizing protein CFDP1 (Bucentaur) (Craniofacial development protein 1)	CFDP1 BCNT CENP-29	Homo sapiens (Human)	299	reviewed
ENSG00000153786	Q9NXF8	ZDHC7_HUMAN	Palmitoyltransferase ZDHHC7 (EC 2.3.1.225) (Acyltransferase ZDHHC7) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 7) (DHHC-7)	ZDHHC7	Homo sapiens (Human)	308	reviewed
ENSG00000153827	Q14669	TRIPC_HUMAN	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	TRIP12 KIAA0045 ULF	Homo sapiens (Human)	2067	reviewed
ENSG00000153989	Q96E22	NGBR_HUMAN	Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Cis-prenyltransferase subunit NgBR) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)	NUS1 C6orf68 NGBR	Homo sapiens (Human)	293	reviewed
ENSG00000154001	Q16537	2A5E_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	PPP2R5E	Homo sapiens (Human)	467	reviewed
ENSG00000154174	O94826	TOM70_HUMAN	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	TOMM70 KIAA0719 TOM70 TOMM70A	Homo sapiens (Human)	608	reviewed
ENSG00000154473	O43684	BUB3_HUMAN	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328	reviewed
ENSG00000154719	Q9NYK5	RM39_HUMAN	Large ribosomal subunit protein mL39 (39S ribosomal protein L39, mitochondrial) (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5)	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22	Homo sapiens (Human)	338	reviewed
ENSG00000154723	P18859	ATP5J_HUMAN	ATP synthase peripheral stalk subunit F6, mitochondrial (ATPase subunit F6) (ATP synthase peripheral stalk subunit F6)	ATP5PF ATP5A ATP5J ATPM	Homo sapiens (Human)	108	reviewed
ENSG00000154767	Q01831	XPC_HUMAN	DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125)	XPC XPCC	Homo sapiens (Human)	940	reviewed
ENSG00000154803	Q8NFG4	FLCN_HUMAN	Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein)	FLCN BHD	Homo sapiens (Human)	579	reviewed
ENSG00000154945	Q6AI12	ANR40_HUMAN	Ankyrin repeat domain-containing protein 40	ANKRD40	Homo sapiens (Human)	368	reviewed
ENSG00000155096	O14977	AZIN1_HUMAN	Antizyme inhibitor 1 (AZI) (AZI1) (Ornithine decarboxylase antizyme inhibitor)	AZIN1 OAZI OAZIN	Homo sapiens (Human)	448	reviewed
ENSG00000155115	Q969F1	TF3C6_HUMAN	General transcription factor 3C polypeptide 6 (Transcription factor IIIC 35 kDa subunit) (TFIIIC 35 kDa subunit) (TFIIIC35) (Transcription factor IIIC subunit 6)	GTF3C6 C6orf51 CDA020 NPD020	Homo sapiens (Human)	213	reviewed
ENSG00000155252	Q9BTU6	P4K2A_HUMAN	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	Homo sapiens (Human)	479	reviewed
ENSG00000155287	Q96A46	MFRN2_HUMAN	Mitoferrin-2 (Mitochondrial RNA-splicing protein 3/4 homolog) (MRS3/4) (hMRS3/4) (Mitochondrial iron transporter 2) (Solute carrier family 25 member 28)	SLC25A28 MFRN2 NPD016	Homo sapiens (Human)	364	reviewed
ENSG00000155366	P08134	RHOC_HUMAN	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	RHOC ARH9 ARHC	Homo sapiens (Human)	193	reviewed
ENSG00000155438	Q9BYG3	MK67I_HUMAN	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293	reviewed
ENSG00000155506	Q6PKG0	LARP1_HUMAN	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096	reviewed
ENSG00000155827	Q5VTR2	BRE1A_HUMAN	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	RNF20 BRE1A	Homo sapiens (Human)	975	reviewed
ENSG00000155876	Q7L523	RRAGA_HUMAN	Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1)	RRAGA	Homo sapiens (Human)	313	reviewed
ENSG00000155957	Q9HC24	LFG4_HUMAN	Protein lifeguard 4 (Golgi anti-apoptotic protein) (Protein S1R) (Transmembrane BAX inhibitor motif-containing protein 4) (Z-protein)	TMBIM4 GAAP LFG4 CGI-119	Homo sapiens (Human)	238	reviewed
ENSG00000155959	P61758	PFD3_HUMAN	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1 PFDN3	Homo sapiens (Human)	197	reviewed
ENSG00000156232	Q8TF30	WHAMM_HUMAN	WASP homolog-associated protein with actin, membranes and microtubules (WAS protein homology region 2 domain-containing protein 1) (WH2 domain-containing protein 1)	WHAMM KIAA1971 WHDC1	Homo sapiens (Human)	809	reviewed
ENSG00000156411	P56378	ATP68_HUMAN	ATP synthase F(0) complex subunit j, mitochondrial (6.8 kDa mitochondrial proteolipid protein) (MLQ) (ATP synthase membrane subunit 6.8PL)	ATP5MJ ATP5MPL C14orf2 MP68 PRO1574	Homo sapiens (Human)	58	reviewed
ENSG00000156467	P14927	QCR7_HUMAN	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	UQCRB UQBP	Homo sapiens (Human)	111	reviewed
ENSG00000156482	P62888	RL30_HUMAN	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	RPL30	Homo sapiens (Human)	115	reviewed
ENSG00000156508	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462	reviewed
ENSG00000156603	A0JLT2	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244	reviewed
ENSG00000156639	Q9H8U3	ZFAN3_HUMAN	AN1-type zinc finger protein 3 (Testis-expressed protein 27)	ZFAND3 TEX27	Homo sapiens (Human)	227	reviewed
ENSG00000156642	Q9Y639	NPTN_HUMAN	Neuroplastin (Stromal cell-derived receptor 1) (SDR-1)	NPTN SDFR1 SDR1	Homo sapiens (Human)	398	reviewed
ENSG00000156860	Q9HAH7	FBRS_HUMAN	Probable fibrosin-1	FBRS FBS FBS1	Homo sapiens (Human)	460	reviewed
