species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	description	source_file
escherichia_coli_k12_mg1655	b2632	yfjP	protein_coding	Chromosome	2767710	2768573	864	+	CP4-57 prophage; putative GTP-binding protein YfjP	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2633	yfjQ	protein_coding	Chromosome	2768665	2769486	822	+	CP4-57 prophage; protein YfjQ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2634	yfjR	protein_coding	Chromosome	2769703	2770404	702	+	CP4-57 prophage; putative DNA-binding transcriptional regulator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2635	ypjK	protein_coding	Chromosome	2770445	2770681	237	+	CP4-57 prophage; uncharacterized protein YpjK	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2636	yfjS	protein_coding	Chromosome	2770681	2771124	444	+	CP4-57 prophage; inner membrane lipoprotein YfjS	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2637	yfjT	protein_coding	Chromosome	2771148	2771615	468	+	CP4-57 prophage; uncharacterized protein YfjT	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2638	yfjU	protein_coding	Chromosome	2771840	2772154	315	-	CP4-57 prophage; ArsC family protein YfjU	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2642	yfjW	protein_coding	Chromosome	2773318	2775021	1704	+	CP4-57 prophage; uncharacterized protein YfjW	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2643	yfjX	protein_coding	Chromosome	2775919	2776377	459	+	CP4-57 prophage; putative antirestriction protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2644	yfjY	protein_coding	Chromosome	2776386	2776868	483	+	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4548	ypjJ	protein_coding	Chromosome	2776877	2777077	201	+	CP4-57 prophage; DUF987 domain-containing protein YpjJ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2645	yfjZ	protein_coding	Chromosome	2777115	2777432	318	+	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2646	ypjF	protein_coding	Chromosome	2777453	2777782	330	+	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2647	ypjA	protein_coding	Chromosome	2778146	2782726	4581	-	adhesin-like autotransporter YpjA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2649	ypjB	protein_coding	Chromosome	2783638	2784429	792	-	DUF5508 domain-containing protein YpjB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2650	ypjC	protein_coding	Chromosome	2784529	2785011	483	-	DUF5507 domain-containing protein YpjC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2659	csiD	protein_coding	Chromosome	2788985	2789962	978	+	PF08943 family protein CsiD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2660	lhgO	protein_coding	Chromosome	2789982	2791250	1269	+	L-2-hydroxyglutarate oxidase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2661	gabD	protein_coding	Chromosome	2791273	2792721	1449	+	NADP(+)-dependent succinate-semialdehyde dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2662	gabT	protein_coding	Chromosome	2792735	2794015	1281	+	4-aminobutyrate aminotransferase GabT	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2663	gabP	protein_coding	Chromosome	2794253	2795653	1401	+	4-aminobutyrate:H(+) symporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2664	csiR	protein_coding	Chromosome	2795674	2796336	663	+	DNA-binding transcriptional repressor CsiR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2665	kbp	protein_coding	Chromosome	2796337	2796786	450	-	K(+) binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2666	yqaE	protein_coding	Chromosome	2796870	2797028	159	-	Pmp3 family protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2667	ygaV	protein_coding	Chromosome	2797211	2797510	300	+	putative DNA-binding transcriptional regulator YgaV	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2668	ygaP	protein_coding	Chromosome	2797520	2798044	525	+	thiosulfate sulfurtransferase YgaP	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2669	stpA	protein_coding	Chromosome	2798091	2798495	405	-	DNA-binding transcriptional repressor StpA with RNA chaperone activity	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2670	alaE	protein_coding	Chromosome	2799164	2799613	450	+	L-alanine exporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2671	ygaC	protein_coding	Chromosome	2799650	2799994	345	-	protein YgaC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2672	ygaM	protein_coding	Chromosome	2800146	2800475	330	+	DUF883 domain-containing protein YgaM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2673	nrdH	protein_coding	Chromosome	2800723	2800968	246	+	glutaredoxin-like protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2674	nrdI	protein_coding	Chromosome	2800965	2801375	411	+	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2675	nrdE	protein_coding	Chromosome	2801348	2803492	2145	+	ribonucleoside-diphosphate reductase 2 subunit alpha	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2676	nrdF	protein_coding	Chromosome	2803502	2804461	960	+	ribonucleoside-diphosphate reductase 2 subunit beta	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2677	proV	protein_coding	Chromosome	2804815	2806017	1203	+	glycine betaine ABC transporter ATP binding subunit ProV	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2678	proW	protein_coding	Chromosome	2806010	2807074	1065	+	glycine betaine ABC transporter membrane subunit ProW	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2679	proX	protein_coding	Chromosome	2807132	2808124	993	+	glycine betaine ABC transporter periplasmic binding protein ProX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2682	ygaZ	protein_coding	Chromosome	2809617	2810354	738	+	L-valine exporter subunit YgaZ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2683	ygaH	protein_coding	Chromosome	2810344	2810679	336	+	L-valine exporter subunit YgaH	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2684	mprA	protein_coding	Chromosome	2810770	2811300	531	+	DNA-binding transcriptional repressor MprA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2685	emrA	protein_coding	Chromosome	2811427	2812599	1173	+	multidrug efflux pump membrane fusion protein EmrA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2686	emrB	protein_coding	Chromosome	2812616	2814154	1539	+	multidrug efflux pump membrane subunit EmrB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2687	luxS	protein_coding	Chromosome	2814218	2814733	516	-	S-ribosylhomocysteine lyase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2688	gshA	protein_coding	Chromosome	2814883	2816439	1557	-	glutamate--cysteine ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2689	yqaA	protein_coding	Chromosome	2816512	2816940	429	-	DedA family protein YqaA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2690	yqaB	protein_coding	Chromosome	2816937	2817503	567	-	fructose-1-phosphatase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2696	csrA	protein_coding	Chromosome	2818961	2819146	186	-	carbon storage regulator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2697	alaS	protein_coding	Chromosome	2819381	2822011	2631	-	alanine--tRNA ligase/DNA-binding transcriptional repressor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2698	recX	protein_coding	Chromosome	2822139	2822639	501	-	RecA inhibitor RecX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2699	recA	protein_coding	Chromosome	2822708	2823769	1062	-	DNA recombination/repair protein RecA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2700	pncC	protein_coding	Chromosome	2823849	2824346	498	-	NMN aminohydrolase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2701	mltB	protein_coding	Chromosome	2824491	2825576	1086	-	membrane-bound lytic murein transglycosylase B	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2702	srlA	protein_coding	Chromosome	2825832	2826395	564	+	sorbitol-specific PTS enzyme IIC2 component	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2703	srlE	protein_coding	Chromosome	2826392	2827351	960	+	sorbitol-specific PTS enzyme IIBC1 component	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2704	srlB	protein_coding	Chromosome	2827362	2827733	372	+	sorbitol-specific PTS enzyme IIA component	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2705	srlD	protein_coding	Chromosome	2827737	2828516	780	+	sorbitol-6-phosphate 2-dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2706	gutM	protein_coding	Chromosome	2828621	2828980	360	+	DNA-binding transcriptional activator GutM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2707	srlR	protein_coding	Chromosome	2829047	2829820	774	+	DNA-binding transcriptional repressor SrlR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2708	gutQ	protein_coding	Chromosome	2829813	2830778	966	+	D-arabinose 5-phosphate isomerase GutQ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2709	norR	protein_coding	Chromosome	2830775	2832289	1515	-	DNA-binding transcriptional dual regulator NorR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2710	norV	protein_coding	Chromosome	2832476	2833915	1440	+	anaerobic nitric oxide reductase flavorubredoxin	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2711	norW	protein_coding	Chromosome	2833912	2835045	1134	+	NADH:flavorubredoxin reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2712	hypF	protein_coding	Chromosome	2835173	2837425	2253	-	carbamoyltransferase HypF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2713	hydN	protein_coding	Chromosome	2837578	2838105	528	-	putative electron transport protein HydN	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2714	ascG	protein_coding	Chromosome	2838254	2839264	1011	-	DNA-binding transcriptional repressor AscG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2715	ascF	protein_coding	Chromosome	2839524	2840981	1458	+	beta-glucoside specific PTS enzyme IIBC component	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2716	ascB	protein_coding	Chromosome	2840990	2842414	1425	+	6-phospho-beta-glucosidase AscB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2717	hycI	protein_coding	Chromosome	2842573	2843043	471	-	hydrogenase 3 maturation protease	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2718	hycH	protein_coding	Chromosome	2843036	2843446	411	-	formate hydrogenlyase assembly protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2719	hycG	protein_coding	Chromosome	2843443	2844210	768	-	formate hydrogenlyase subunit HycG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2720	hycF	protein_coding	Chromosome	2844210	2844752	543	-	formate hydrogenlyase subunit HycF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2721	hycE	protein_coding	Chromosome	2844762	2846471	1710	-	formate hydrogenlyase subunit HycE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2722	hycD	protein_coding	Chromosome	2846489	2847412	924	-	formate hydrogenlyase subunit HycD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2723	hycC	protein_coding	Chromosome	2847415	2849241	1827	-	formate hydrogenlyase subunit HycC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2724	hycB	protein_coding	Chromosome	2849238	2849849	612	-	formate hydrogenlyase subunit HycB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2725	hycA	protein_coding	Chromosome	2849974	2850435	462	-	regulator of the transcriptional regulator FhlA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2726	hypA	protein_coding	Chromosome	2850647	2850997	351	+	hydrogenase 3 nickel incorporation protein HypA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2727	hypB	protein_coding	Chromosome	2851001	2851873	873	+	hydrogenase isoenzymes nickel incorporation protein HypB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2728	hypC	protein_coding	Chromosome	2851864	2852136	273	+	hydrogenase 3 maturation protein HypC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2729	hypD	protein_coding	Chromosome	2852136	2853257	1122	+	Fe-(CN)2CO cofactor assembly scaffold protein HypD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2730	hypE	protein_coding	Chromosome	2853254	2854264	1011	+	hydrogenase maturation protein, carbamoyl dehydratase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2731	fhlA	protein_coding	Chromosome	2854338	2856416	2079	+	DNA-binding transcriptional activator FhlA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2732	ygbA	protein_coding	Chromosome	2856453	2856806	354	-	protein YgbA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2733	mutS	protein_coding	Chromosome	2857093	2859654	2562	+	DNA mismatch repair protein MutS	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b2734	pphB	protein_coding	Chromosome	2859760	2860416	657	+	phosphoprotein phosphatase 2	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
